key,item,english,translation,notes
language_title,,Language,Nyelv,
language_display_title,,Display language,Megjelenítési nyelv,
language_display_subtitle,,Follows your device by default; choose one to override it,Alapértelmezés szerint követi az eszközt; válasszon egyet a felülbíráláshoz,
language_system,,System default,Rendszer alapértelmezett,
language_selected,,Selected,Kiválasztott,
nav_home,,Home,Otthon,
nav_rooms,,Rooms,Szobák,
nav_security,,Security,Biztonság,
nav_energy,,Energy,Energia,
nav_climate,,Climate,Éghajlat,
nav_battery,,Battery,Akkumulátor,
nav_settings,,Settings,Beállítások elemre,
nav_room_detail,,Room Detail,Szobarészlet,
settings_title_connection,,Connection,Kapcsolat,
settings_title_profile,,Profile,Profil,
settings_title_location,,Location,Elhelyezkedés,
settings_title_notifications,,Notifications,Értesítések,
settings_title_appearance,,Appearance,Megjelenés,
settings_title_header,,Header,Fejléc,
settings_title_theme,,Theme,Téma,
settings_title_fonts,,Fonts,Betűtípusok,
settings_title_corners,,Corners,Sarkok,
settings_title_icons,,Icons,Ikonok,
settings_title_nav_bar,,Navigation Bar,Navigációs sáv,
settings_title_media_players,,Media Players,Médialejátszók,
settings_title_dashboard,,Dashboard,Műszerfal,
settings_title_family_sharing,,Family Sharing,Családi megosztás,
settings_title_backup_restore,,Backup and Restore,Biztonsági mentés és visszaállítás,
settings_title_account,,Account,fiók,
settings_title_about,,About HKI 7,Körülbelül HKI 7,don't translate HKI 7
settings_title_license,,License,Engedély,
settings_title_support,,Support,Támogatás,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,"Minden, ami alakítja a HKI 7 élményét",don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Az Ön profilja és az alkalmazás telepítése,
settings_subtitle_profile,,Personal details used throughout your dashboard,Az irányítópulton használt személyes adatok,
settings_subtitle_connection,,Server routes and local-network preferences,Szerverútvonalak és helyi hálózati beállítások,
settings_subtitle_location,,Presence updates and background access,Jelenlétfrissítések és hozzáférés a háttérben,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Irányítópultok, lapok, médialejátszók és előugró ablakok",
settings_subtitle_appearance,,Make the dashboard feel like yours,Tedd a műszerfalat a tiednek,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Gombok, kártyák és widgetek kereksége",
settings_subtitle_icons,,Icon animations and per-domain effects,Ikonanimációk és tartományonkénti effektusok,
