key,item,english,translation,notes
language_title,,Language,Kalba,
language_display_title,,Display language,Ekrano kalba,
language_display_subtitle,,Follows your device by default; choose one to override it,"Pagal numatytuosius nustatymus seka jūsų įrenginį; pasirinkite vieną, kad ją nepaisytumėte",
language_system,,System default,Numatytasis sistemos,
language_selected,,Selected,Pasirinkta,
nav_home,,Home,Pradžia,
nav_rooms,,Rooms,Kambariai,
nav_security,,Security,Saugumas,
nav_energy,,Energy,Energija,
nav_climate,,Climate,Klimatas,
nav_battery,,Battery,Baterija,
nav_settings,,Settings,Nustatymai,
nav_room_detail,,Room Detail,Kambario detalė,
settings_title_connection,,Connection,Ryšys,
settings_title_profile,,Profile,Profilis,
settings_title_location,,Location,Vieta,
settings_title_notifications,,Notifications,Pranešimai,
settings_title_appearance,,Appearance,Išvaizda,
settings_title_header,,Header,Antraštė,
settings_title_theme,,Theme,tema,
settings_title_fonts,,Fonts,Šriftai,
settings_title_corners,,Corners,Kampai,
settings_title_icons,,Icons,Piktogramos,
settings_title_nav_bar,,Navigation Bar,Naršymo juosta,
settings_title_media_players,,Media Players,Medijos grotuvai,
settings_title_dashboard,,Dashboard,Prietaisų skydelis,
settings_title_family_sharing,,Family Sharing,Šeimos bendrinimas,
settings_title_backup_restore,,Backup and Restore,Atsarginė kopija ir atkūrimas,
settings_title_account,,Account,sąskaita,
settings_title_about,,About HKI 7,Apie HKI 7,don't translate HKI 7
settings_title_license,,License,Licencija,
settings_title_support,,Support,Palaikymas,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,"Viskas, kas formuoja jūsų HKI 7 patirtį",don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Jūsų profilis ir šios programos diegimas,
settings_subtitle_profile,,Personal details used throughout your dashboard,Asmeninė informacija naudojama jūsų prietaisų skydelyje,
settings_subtitle_connection,,Server routes and local-network preferences,Serverio maršrutai ir vietinio tinklo nuostatos,
settings_subtitle_location,,Presence updates and background access,Buvimo naujiniai ir prieiga prie fono,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Prietaisų skydeliai, skirtukai, medijos leistuvai ir iššokantys langai",
settings_subtitle_appearance,,Make the dashboard feel like yours,Padarykite prietaisų skydelį tarsi savo,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Mygtukų, kortelių ir valdiklių apvalumas",
settings_subtitle_icons,,Icon animations and per-domain effects,Piktogramų animacijos ir efektai kiekvienam domenui,
settings_subtitle_header,,Choose whether the dashboard header is shown,"Pasirinkite, ar bus rodoma prietaisų skydelio antraštė",
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Spalva, kontrastas, režimas ir kampų stilius",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Dydis, svoris ir šrifto skaitomumas",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,"Pasirinkite, kurios kelionės vietos visada pasiekiamos",
settings_subtitle_media_players,,Names and mini-player visibility,Vardai ir mini žaidėjų matomumas,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Push pristatymas, istorija ir aptarnavimo elgsena",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Apsaugokite arba perkelkite prietaisų skydelio konfigūraciją,
