1and1	1&1
1dot1dot1dot1	1.1.1.1
30secondsofcode	30 seconds of code
365datascience	365 Data Science
abdownloadmanager	AB Download Manager ABDM
aboutdotme	about.me
abusedotch	abuse.ch
activeloop	Activeloop Deep Lake
actualbudget	Actual Budget
adblockplus	Adblock Plus
addydotio	addy.io
adventofcode	Advent Of Code
aegisauthenticator	Aegis Authenticator
aeromexico	Aeroméxico
aframe	A-Frame
agentskills	Agent Skills
aib	AIB Allied Irish Banks
aidungeon	AI Dungeon
aircanada	Air Canada
airchina	Air China
airfrance	Air France
airindia	Air India
airplayaudio	AirPlay Audio
airplayvideo	AirPlay Video
airserbia	Air Serbia
airtransat	Air Transat
akasaair	Akasa Air
albertheijn	Albert Heijn
aldinord	Aldi Nord
aldisud	Aldi Süd
alibabacloud	Alibaba Cloud
alibabadotcom	Alibaba.com
alpinedotjs	Alpine.js
alpinelinux	Alpine Linux
ameba	Ameba Ameba Blog Ameblo
americanairlines	American Airlines
americanexpress	American Express
androidauto	Android Auto
androidstudio	Android Studio
animalplanet	Animal Planet
animedotjs	Anime.js
antdesign	Ant Design
antena3	Antena 3
apacheairflow	Apache Airflow
apacheant	Apache Ant
apachearrow	Apache Arrow
apacheavro	Apache Avro
apachecassandra	Apache Cassandra
apachecloudstack	Apache CloudStack
apachecordova	Apache Cordova
apachecouchdb	Apache CouchDB
apachedolphinscheduler	Apache DolphinScheduler
apachedoris	Apache Doris
apachedruid	Apache Druid
apacheecharts	Apache ECharts
apacheflink	Apache Flink
apachefreemarker	Apache FreeMarker
apachegroovy	Apache Groovy
apacheguacamole	Apache Guacamole
apachehadoop	Apache Hadoop
apachehbase	Apache HBase
apachehive	Apache Hive
apachejmeter	Apache JMeter
apachekafka	Apache Kafka
apachekylin	Apache Kylin
apachelucene	Apache Lucene
apachemaven	Apache Maven
apachenetbeanside	Apache NetBeans IDE
apachenifi	Apache NiFi
apacheopenoffice	Apache OpenOffice
apacheparquet	Apache Parquet
apachepdfbox	Apache PDFBox
apachepulsar	Apache Pulsar
apacherocketmq	Apache RocketMQ
apachesolr	Apache Solr
apachespark	Apache Spark
apachestorm	Apache Storm
apachesuperset	Apache Superset
apachetomcat	Apache Tomcat
apmterminals	APM Terminals
apollographql	Apollo GraphQL
appgallery	AppGallery HUAWEI AppGallery
applearcade	Apple Arcade
applemusic	Apple Music
applenews	Apple News
applepay	Apple Pay
applepodcasts	Apple Podcasts
appletv	Apple TV
appstore	App Store
archiveofourown	Archive of Our Own
archlinux	Arch Linux
arkecosystem	ARK Ecosystem
armkeil	Arm Keil
arstechnica	Ars Technica
artifacthub	Artifact Hub
artixlinux	Artix Linux
asahilinux	Asahi Linux
astonmartin	Aston Martin
atandt	AT&T
audiotechnica	Audio-Technica
autodeskmaya	Autodesk Maya
autodeskrevit	Autodesk Revit
awesomelists	Awesome Lists
axisbank	Axis Bank
babylondotjs	Babylon.js
backbonedotjs	Backbone.js
bakalari	Bakaláři
bambulab	Bambu Lab
bandrautomation	B&R Automation
bankofamerica	Bank of America
baseui	Base UI
basicattentiontoken	Basic Attention Token BAT
bastyon	Bastyon pocketnet
battledotnet	Battle.net
beatsbydre	Beats by Dre
beekeeperstudio	Beekeeper Studio
beijingsubway	Beijing Subway
betterauth	Better Auth
betterstack	Better Stack
bigcartel	Big Cartel
biolink	Bio Link
biome	Biome Rome
bitcoincash	Bitcoin Cash
bitcoinsv	Bitcoin SV
blackmagicdesign	Blackmagic Design
blockchaindotcom	Blockchain.com
bluesky	Bluesky bsky
bmcsoftware	BMC Software
bnbchain	BNB Chain
boehringeringelheim	Boehringer Ingelheim
bohemiainteractive	Bohemia Interactive
bookingdotcom	Booking.com
botblecms	Botble CMS
boxysvg	Boxy SVG
britishairways	British Airways
bunnydotnet	bunny.net
burgerking	Burger King
burpsuite	Burp Suite
buymeacoffee	Buy Me A Coffee
bvg	BVG Berliner Verkehrsbetriebe
byjus	Byju's
cairographics	Cairo Graphics
cairometro	Cairo Metro
