key,item,english,translation,notes
language_title,,Language,език,
language_display_title,,Display language,Език на дисплея,
language_display_subtitle,,Follows your device by default; choose one to override it,"Следва вашето устройство по подразбиране; изберете един, който да го замени",
language_system,,System default,Система по подразбиране,
language_selected,,Selected,Избрано,
nav_home,,Home,Начало,
nav_rooms,,Rooms,Стаи,
nav_security,,Security,сигурност,
nav_energy,,Energy,енергия,
nav_climate,,Climate,Климат,
nav_battery,,Battery,Батерия,
nav_settings,,Settings,Настройки,
nav_room_detail,,Room Detail,Детайл на стаята,
settings_title_connection,,Connection,Връзка,
settings_title_profile,,Profile,Профил,
settings_title_location,,Location,Местоположение,
settings_title_notifications,,Notifications,Известия,
settings_title_appearance,,Appearance,Външен вид,
settings_title_header,,Header,Заглавка,
settings_title_theme,,Theme,Тема,
settings_title_fonts,,Fonts,Шрифтове,
settings_title_corners,,Corners,Ъгли,
settings_title_icons,,Icons,Икони,
settings_title_nav_bar,,Navigation Bar,Навигационна лента,
settings_title_media_players,,Media Players,Медийни плейъри,
settings_title_dashboard,,Dashboard,Табло за управление,
settings_title_family_sharing,,Family Sharing,Семейно споделяне,
settings_title_backup_restore,,Backup and Restore,Архивиране и възстановяване,
settings_title_account,,Account,акаунт,
settings_title_about,,About HKI 7,Относно HKI 7,don't translate HKI 7
settings_title_license,,License,Лиценз,
settings_title_support,,Support,поддръжка,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,"Всичко, което оформя вашето HKI 7 изживяване",don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Вашият профил и тази инсталация на приложението,
settings_subtitle_profile,,Personal details used throughout your dashboard,"Лични данни, използвани във вашето табло за управление",
settings_subtitle_connection,,Server routes and local-network preferences,Сървърни маршрути и предпочитания за локална мрежа,
settings_subtitle_location,,Presence updates and background access,Актуализации на присъствието и фонов достъп,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Табла, раздели, медийни плейъри и изскачащи прозорци",
settings_subtitle_appearance,,Make the dashboard feel like yours,Накарайте таблото да се чувства като ваше,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Заобленост на бутоните, картите и джаджите",
settings_subtitle_icons,,Icon animations and per-domain effects,Анимации на икони и ефекти за всеки домейн,
settings_subtitle_header,,Choose whether the dashboard header is shown,Изберете дали да се показва заглавката на таблото,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Цвят, контраст, режим и оформяне на ъглите",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Размер, тегло и четливост на шрифта",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,Изберете кои дестинации са винаги наблизо,
settings_subtitle_media_players,,Names and mini-player visibility,Имена и видимост на мини-плейър,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Push доставка, история и поведение на услугата",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Защитете или преместете конфигурацията на вашето табло,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Родителски контрол, споделяне на таблото за управление и разрешения за получатели",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","Проектът, технологията и хората зад HKI 7",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Ядро на общността с отворен код и незадължителни първокласни материали,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,"Начини да помогнете на HKI 7 да расте, без да купувате Premium",don't translate HKI 7
notification_channel_general,,General,генерал,
location_channel_name,,Location sharing,Споделяне на местоположение,
location_notification_title,,Home Assistant location,Home Assistant местоположение,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Споделяне на вашето местоположение с Home Assistant,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Връзка за известяване,
push_connection_notification_title,,Connected to Home Assistant,Свързан с Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,Слушане за известия,
parcel_title,,Parcels,Колети,
parcel_generic_carrier,,Carrier,Превозвач,
parcel_incoming,,Incoming,Входящи,
parcel_delivered,,Delivered,Доставено,
parcel_outgoing,,Outgoing,Изходящ,
parcel_letters,,Letters,Писма,
parcel_mail,,Mail,поща,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d входящи · %2$d изходящи,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d входящи · %2$d изходящи · %3$d букви,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d входящи · %2$d изходящи · %3$d букви,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,%1$d входящи · %2$d изходящи · %3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,Проследяване на историята,
parcel_tracking_history_subtitle,,Parcel journey and status updates,Пътуване на колета и актуализации на състоянието,
