key,item,english,translation,notes
language_title,,Language,Langue,
language_display_title,,Display language,Langue d'affichage,
language_display_subtitle,,Follows your device by default; choose one to override it,Suit votre appareil par défaut ; choisissez-en un pour le remplacer,
language_system,,System default,Valeur par défaut du système,
language_selected,,Selected,Choisi,
nav_home,,Home,Maison,
nav_rooms,,Rooms,Chambres,
nav_security,,Security,Sécurité,
nav_energy,,Energy,Énergie,
nav_climate,,Climate,Climat,
nav_battery,,Battery,Batterie,
nav_settings,,Settings,Paramètres,
nav_room_detail,,Room Detail,Détail de la pièce,
settings_title_connection,,Connection,Connexion,
settings_title_profile,,Profile,Profil,
settings_title_location,,Location,Emplacement,
settings_title_notifications,,Notifications,Notifications,
settings_title_appearance,,Appearance,Apparence,
settings_title_header,,Header,En-tête,
settings_title_theme,,Theme,Thème,
settings_title_fonts,,Fonts,Polices,
settings_title_corners,,Corners,Coins,
settings_title_icons,,Icons,Icônes,
settings_title_nav_bar,,Navigation Bar,Barre de navigation,
settings_title_media_players,,Media Players,Lecteurs multimédias,
settings_title_dashboard,,Dashboard,Tableau de bord,
settings_title_family_sharing,,Family Sharing,Partage familial,
settings_title_backup_restore,,Backup and Restore,Sauvegarde et restauration,
settings_title_account,,Account,Compte,
settings_title_about,,About HKI 7,À propos de HKI 7,don't translate HKI 7
settings_title_license,,License,Licence,
settings_title_support,,Support,Soutien,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,Tout ce qui façonne votre expérience HKI 7,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Votre profil et l'installation de cette application,
settings_subtitle_profile,,Personal details used throughout your dashboard,Données personnelles utilisées dans tout votre tableau de bord,
settings_subtitle_connection,,Server routes and local-network preferences,Routes de serveur et préférences de réseau local,
settings_subtitle_location,,Presence updates and background access,Mises à jour de présence et accès en arrière-plan,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Tableaux de bord, onglets, lecteurs multimédias et fenêtres contextuelles",
settings_subtitle_appearance,,Make the dashboard feel like yours,Donnez l'impression que le tableau de bord ressemble au vôtre,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Rondeur des boutons, cartes et widgets",
settings_subtitle_icons,,Icon animations and per-domain effects,Animations d'icônes et effets par domaine,
settings_subtitle_header,,Choose whether the dashboard header is shown,Choisissez si l'en-tête du tableau de bord est affiché,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Couleur, contraste, mode et style des coins",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Taille, poids et lisibilité des caractères",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,Choisissez quelles destinations sont toujours à portée de main,
settings_subtitle_media_players,,Names and mini-player visibility,Noms et visibilité des mini-joueurs,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Livraison push, historique et comportement du service",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Protéger ou déplacer la configuration de votre tableau de bord,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Contrôles parentaux, partage de tableaux de bord et autorisations des destinataires",
