key,item,english,translation,notes
language_title,,Language,Kieli,
language_display_title,,Display language,Näytön kieli,
language_display_subtitle,,Follows your device by default; choose one to override it,Seuraa laitettasi oletuksena; valitse yksi ohittaaksesi sen,
language_system,,System default,Järjestelmän oletus,
language_selected,,Selected,Valittu,
nav_home,,Home,Kotiin,
nav_rooms,,Rooms,Huoneet,
nav_security,,Security,Turvallisuus,
nav_energy,,Energy,Energiaa,
nav_climate,,Climate,Ilmasto,
nav_battery,,Battery,Akku,
nav_settings,,Settings,Asetukset,
nav_room_detail,,Room Detail,Huoneen yksityiskohdat,
settings_title_connection,,Connection,Yhteys,
settings_title_profile,,Profile,Profiili,
settings_title_location,,Location,Sijainti,
settings_title_notifications,,Notifications,Ilmoitukset,
settings_title_appearance,,Appearance,Ulkonäkö,
settings_title_header,,Header,Otsikko,
settings_title_theme,,Theme,Teema,
settings_title_fonts,,Fonts,Fontit,
settings_title_corners,,Corners,Kulmat,
settings_title_icons,,Icons,Kuvakkeet,
settings_title_nav_bar,,Navigation Bar,Navigointipalkki,
settings_title_media_players,,Media Players,Mediasoittimet,
settings_title_dashboard,,Dashboard,Kojelauta,
settings_title_family_sharing,,Family Sharing,Perheen jakaminen,
settings_title_backup_restore,,Backup and Restore,Varmuuskopioi ja palauta,
settings_title_account,,Account,Tili,
settings_title_about,,About HKI 7,Tietoja HKI 7:stä,don't translate HKI 7
settings_title_license,,License,Lisenssi,
settings_title_support,,Support,Tukea,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,"Kaikki, mikä muokkaa HKI 7 -kokemustasi",don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Profiilisi ja tämä sovelluksen asennus,
settings_subtitle_profile,,Personal details used throughout your dashboard,Henkilötietoja käytetään koko hallintapaneelissasi,
settings_subtitle_connection,,Server routes and local-network preferences,Palvelinreitit ja paikallisen verkon asetukset,
settings_subtitle_location,,Presence updates and background access,Läsnäolopäivitykset ja pääsy taustalla,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Kojelaudat, välilehdet, mediasoittimet ja ponnahdusikkunat",
settings_subtitle_appearance,,Make the dashboard feel like yours,Tee kojelautasta omasi,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Painikkeiden, korttien ja widgetien pyöreys",
settings_subtitle_icons,,Icon animations and per-domain effects,Kuvakeanimaatiot ja verkkotunnuskohtaiset tehosteet,
settings_subtitle_header,,Choose whether the dashboard header is shown,"Valitse, näytetäänkö kojelaudan otsikko",
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Väri, kontrasti, tila ja kulmien muotoilu",
