key,item,english,translation,notes
language_title,,Language,Språk,
language_display_title,,Display language,Visningsspråk,
language_display_subtitle,,Follows your device by default; choose one to override it,Følger enheten som standard; velg en for å overstyre den,
language_system,,System default,Systemstandard,
language_selected,,Selected,Valgt,
nav_home,,Home,Hjem,
nav_rooms,,Rooms,Rom,
nav_security,,Security,Sikkerhet,
nav_energy,,Energy,Energi,
nav_climate,,Climate,Klima,
nav_battery,,Battery,Batteri,
nav_settings,,Settings,Innstillinger,
nav_room_detail,,Room Detail,Romdetaljer,
settings_title_connection,,Connection,Forbindelse,
settings_title_profile,,Profile,Profil,
settings_title_location,,Location,Sted,
settings_title_notifications,,Notifications,Varsler,
settings_title_appearance,,Appearance,Utseende,
settings_title_header,,Header,Overskrift,
settings_title_theme,,Theme,Tema,
settings_title_fonts,,Fonts,Fonter,
settings_title_corners,,Corners,Hjørner,
settings_title_icons,,Icons,Ikoner,
settings_title_nav_bar,,Navigation Bar,Navigasjonslinje,
settings_title_media_players,,Media Players,Mediespillere,
settings_title_dashboard,,Dashboard,Dashbord,
settings_title_family_sharing,,Family Sharing,Familiedeling,
settings_title_backup_restore,,Backup and Restore,Sikkerhetskopiering og gjenoppretting,
settings_title_account,,Account,Konto,
settings_title_about,,About HKI 7,Om HKI 7,don't translate HKI 7
settings_title_license,,License,Tillatelse,
settings_title_support,,Support,Støtte,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,Alt som former din HKI 7-opplevelse,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Din profil og denne appinstallasjonen,
settings_subtitle_profile,,Personal details used throughout your dashboard,Personlige opplysninger brukt i hele dashbordet,
settings_subtitle_connection,,Server routes and local-network preferences,Serverruter og lokale nettverkspreferanser,
settings_subtitle_location,,Presence updates and background access,Tilstedeværelsesoppdateringer og bakgrunnstilgang,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Dashboards, faner, mediespillere og popup-vinduer",
settings_subtitle_appearance,,Make the dashboard feel like yours,Få dashbordet til å føles som ditt,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Rundhet av knapper, kort og widgets",
settings_subtitle_icons,,Icon animations and per-domain effects,Ikonanimasjoner og effekter per domene,
settings_subtitle_header,,Choose whether the dashboard header is shown,Velg om dashbordoverskriften skal vises,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Farge, kontrast, modus og hjørnestyling",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Størrelse, vekt og skrifttype lesbarhet",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,Velg hvilke destinasjoner som alltid er innen rekkevidde,
settings_subtitle_media_players,,Names and mini-player visibility,Navn og synlighet for minispillere,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Push-levering, historikk og tjenesteatferd",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Beskytt eller flytt dashbordkonfigurasjonen,
