key,item,english,translation,notes
language_title,,Language,Jezik,
language_display_title,,Display language,Jezik prikaza,
language_display_subtitle,,Follows your device by default; choose one to override it,Prati vaš uređaj prema zadanim postavkama; odaberite jedan koji će ga nadjačati,
language_system,,System default,Zadana vrijednost sustava,
language_selected,,Selected,Odabrano,
nav_home,,Home,Dom,
nav_rooms,,Rooms,Sobe,
nav_security,,Security,Sigurnost,
nav_energy,,Energy,energija,
nav_climate,,Climate,Klima,
nav_battery,,Battery,Baterija,
nav_settings,,Settings,postavke,
nav_room_detail,,Room Detail,Detalj sobe,
settings_title_connection,,Connection,Veza,
settings_title_profile,,Profile,Profil,
settings_title_location,,Location,Mjesto,
settings_title_notifications,,Notifications,Obavijesti,
settings_title_appearance,,Appearance,Izgled,
settings_title_header,,Header,Zaglavlje,
settings_title_theme,,Theme,Tema,
settings_title_fonts,,Fonts,Fontovi,
settings_title_corners,,Corners,Kutovi,
settings_title_icons,,Icons,Ikone,
settings_title_nav_bar,,Navigation Bar,Navigacijska traka,
settings_title_media_players,,Media Players,Media Playeri,
settings_title_dashboard,,Dashboard,Nadzorna ploča,
settings_title_family_sharing,,Family Sharing,Dijeljenje s obitelji,
settings_title_backup_restore,,Backup and Restore,Sigurnosno kopiranje i vraćanje,
settings_title_account,,Account,Račun,
settings_title_about,,About HKI 7,O HKI 7,don't translate HKI 7
settings_title_license,,License,Licenca,
settings_title_support,,Support,podrška,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,Sve što oblikuje vaše HKI 7 iskustvo,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Vaš profil i ova instalacija aplikacije,
settings_subtitle_profile,,Personal details used throughout your dashboard,Osobni podaci koji se koriste na vašoj nadzornoj ploči,
settings_subtitle_connection,,Server routes and local-network preferences,Rute poslužitelja i postavke lokalne mreže,
settings_subtitle_location,,Presence updates and background access,Ažuriranja prisutnosti i pristup u pozadini,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Nadzorne ploče, kartice, media playeri i skočni prozori",
settings_subtitle_appearance,,Make the dashboard feel like yours,Neka se upravljačka ploča osjeća kao vaša,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Zaobljenost gumba, kartica i widgeta",
settings_subtitle_icons,,Icon animations and per-domain effects,Animacije ikona i efekti po domeni,
settings_subtitle_header,,Choose whether the dashboard header is shown,Odaberite hoće li se prikazivati zaglavlje nadzorne ploče,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Boja, kontrast, način rada i stiliziranje kutova",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Veličina, težina i čitljivost slova",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,Odaberite koja su vam odredišta uvijek nadohvat ruke,
settings_subtitle_media_players,,Names and mini-player visibility,Imena i vidljivost mini igrača,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Push dostava, povijest i ponašanje usluge",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Zaštitite ili premjestite konfiguraciju nadzorne ploče,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Roditeljski nadzor, dijeljenje nadzorne ploče i dopuštenja primatelja",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","Projekt, tehnologija i ljudi koji stoje iza HKI 7",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Jezgra zajednice otvorenog koda i izborni premium materijali,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,Načini da pomognete HKI 7 rasti bez kupnje Premiuma,don't translate HKI 7
notification_channel_general,,General,General,
location_channel_name,,Location sharing,Dijeljenje lokacije,
location_notification_title,,Home Assistant location,Home Assistant lokacija,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Dijeljenje vaše lokacije s Home Assistant,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Veza s obavijestima,
push_connection_notification_title,,Connected to Home Assistant,Povezan na Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,Osluškujući obavijesti,
parcel_title,,Parcels,Parcele,
parcel_generic_carrier,,Carrier,Prijevoznik,
parcel_incoming,,Incoming,Dolazni,
parcel_delivered,,Delivered,Isporučeno,
parcel_outgoing,,Outgoing,Odlazni,
parcel_letters,,Letters,pisma,
parcel_mail,,Mail,pošta,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d dolazni · %2$d odlazni,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d dolaznih · %2$d odlaznih · %3$d slova,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d dolaznih · %2$d odlaznih · %3$d slova,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,%1$d dolazni · %2$d odlazni · %3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,Povijest praćenja,
parcel_tracking_history_subtitle,,Parcel journey and status updates,Putovanje paketa i ažuriranje statusa,
parcel_choose_carrier_account,,Choose a carrier account,Odaberite račun operatera,
parcel_empty_tab,,No %1$s parcels.,Nema %1$s parcela.,app fills in %1$s — keep them
parcel_no_incoming,,No incoming parcels.,Nema dolaznih paketa.,
parcel_no_delivered,,No delivered parcels.,Nema isporučenih paketa.,
parcel_no_outgoing,,No outgoing parcels.,Nema odlaznih paketa.,
parcel_stage_registered,,Registered,Registriran,
parcel_stage_sorting,,Sorting,Sortiranje,
parcel_stage_on_the_way,,On the way,Na putu,
parcel_unknown_status,,Unknown status,Nepoznat status,
parcel_status_in_transit,,In transit,U tranzitu,
parcel_status_out_for_delivery,,Out for delivery,Za dostavu,
parcel_status_at_pickup_point,,Ready at pickup point,Spremno na mjestu preuzimanja,
parcel_status_ready_to_send,,Ready to send,Spremno za slanje,
parcel_letter_preview,,Letter preview,Pregled pisma,
parcel_carriers,,Carriers,Prijevoznici,
parcel_track_new,,Track a new %1$s parcel by number,Pratite novu %1$s pošiljku po broju,app fills in %1$s — keep them
parcel_choose_carrier,,Choose a carrier,Odaberite prijevoznika,
parcel_settings_subtitle,,"Carrier accounts, aggregation, and appearance","Računi nositelja, agregacija i izgled",
parcel_settings_accounts,,Accounts,Računi,
parcel_settings_organization,,Organization,Organizacija,
parcel_settings_appearance,,Appearance,Izgled,
action_remove,,Remove,Ukloniti,
notification_delete,,Delete notification,Izbriši obavijest,
notification_mark_all_read,,Mark all as read,Označi sve kao pročitano,
notification_mark_all_unread,,Mark all as unread,Označi sve kao nepročitano,
notification_delete_all,,Delete all,Izbriši sve,
notification_delete_all_archived,,Delete all archived,Izbriši sve arhivirane,
notification_unread,,Unread,Nepročitano,
notification_history,,History,Povijest,
notification_mark_unread,,Mark as unread,Označi kao nepročitano,
notification_mark_read,,Mark as read,Označi kao pročitano,
notification_archive,,Archive,Arhiva,
notification_unarchive,,Unarchive,Poništi arhiviranje,
notification_delete_action,,Delete,Izbrisati,
entity_search_select_items,,Select items,Odaberite stavke,
entity_search_choose_one,,Search and choose one entity,Pretražite i odaberite jedan entitet,
entity_search_choose_multiple,,Search and select one or more entities,Pretražite i odaberite jedan ili više entiteta,
global_search_title,,Search,Pretraživanje,
global_search_subtitle,,Find and control any Home Assistant device or entity,Pronađite i kontrolirajte bilo koji Home Assistant uređaj ili entitet,don't translate Home Assistant
global_search_clear,,Clear search,Očisti pretragu,
global_search_no_devices,,No matching devices.,Nema odgovarajućih uređaja.,
global_search_no_entities,,No matching entities.,Nema podudarnih entiteta.,
security_title,,Security,Sigurnost,
security_subtitle,,Home status and activity,Kućni status i aktivnost,
security_settings,,Security settings,Sigurnosne postavke,
security_entities,,Security entities,Sigurnosni subjekti,
security_reimport,,Re-import,Ponovni uvoz,
security_group_doors,,Doors,Vrata,
security_group_doors_subtitle,,Door contacts,Kontakti na vratima,
security_group_windows,,Windows,Windows,
security_group_windows_subtitle,,Window contacts,Prozorski kontakti,
security_group_openings,,Openings,Otvori,
security_group_openings_subtitle,,Garage doors and other openings,Garažna vrata i ostali otvori,
security_group_garage_doors,,Garage doors,Garažna vrata,
