key,item,english,translation,notes
language_title,,Language,Язык,
language_display_title,,Display language,Язык дисплея,
language_display_subtitle,,Follows your device by default; choose one to override it,"По умолчанию следует за вашим устройством; выберите один, чтобы переопределить его",
language_system,,System default,Система по умолчанию,
language_selected,,Selected,Выбрано,
nav_home,,Home,Дом,
nav_rooms,,Rooms,Номера,
nav_security,,Security,Безопасность,
nav_energy,,Energy,Энергия,
nav_climate,,Climate,Климат,
nav_battery,,Battery,Батарея,
nav_settings,,Settings,Настройки,
nav_room_detail,,Room Detail,Деталь номера,
settings_title_connection,,Connection,Связь,
settings_title_profile,,Profile,Профиль,
settings_title_location,,Location,Расположение,
settings_title_notifications,,Notifications,Уведомления,
settings_title_appearance,,Appearance,Появление,
settings_title_header,,Header,Заголовок,
settings_title_theme,,Theme,Тема,
settings_title_fonts,,Fonts,Шрифты,
settings_title_corners,,Corners,Углы,
settings_title_icons,,Icons,Иконки,
settings_title_nav_bar,,Navigation Bar,Панель навигации,
settings_title_media_players,,Media Players,Медиаплееры,
settings_title_dashboard,,Dashboard,Панель управления,
settings_title_family_sharing,,Family Sharing,Семейный доступ,
settings_title_backup_restore,,Backup and Restore,Резервное копирование и восстановление,
settings_title_account,,Account,Счет,
settings_title_about,,About HKI 7,О HKI 7,don't translate HKI 7
settings_title_license,,License,Лицензия,
settings_title_support,,Support,Поддерживать,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,"Все, что формирует ваш опыт HKI 7",don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Ваш профиль и установка этого приложения,
settings_subtitle_profile,,Personal details used throughout your dashboard,"Личные данные, используемые на вашей информационной панели",
settings_subtitle_connection,,Server routes and local-network preferences,Маршруты сервера и настройки локальной сети,
settings_subtitle_location,,Presence updates and background access,Обновления присутствия и фоновый доступ,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Панели мониторинга, вкладки, медиаплееры и всплывающие окна",
settings_subtitle_appearance,,Make the dashboard feel like yours,Сделайте панель управления похожей на вашу,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Округлость кнопок, карточек и виджетов",
settings_subtitle_icons,,Icon animations and per-domain effects,Анимация значков и эффекты для каждого домена,
settings_subtitle_header,,Choose whether the dashboard header is shown,"Выберите, будет ли отображаться заголовок информационной панели",
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Цвет, контрастность, режим и угловой стиль",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Размер, вес и читаемость шрифта",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,"Выбирайте, какие пункты назначения всегда под рукой",
settings_subtitle_media_players,,Names and mini-player visibility,Имена и видимость мини-плеера,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Push-доставка, история и поведение сервиса",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Защитите или переместите конфигурацию панели мониторинга,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Родительский контроль, общий доступ к информационной панели и разрешения получателей",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","Проект, технология и люди, стоящие за HKI 7",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Ядро сообщества с открытым исходным кодом и дополнительные материалы премиум-класса.,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,Как помочь HKI 7 развиваться без покупки Premium,don't translate HKI 7
notification_channel_general,,General,Общий,
location_channel_name,,Location sharing,Передача местоположения,
location_notification_title,,Home Assistant location,Home Assistant местоположение,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Передача вашего местоположения Home Assistant,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Подключение уведомлений,
push_connection_notification_title,,Connected to Home Assistant,Подключено к Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,Прослушивание уведомлений,
parcel_title,,Parcels,Посылки,
parcel_generic_carrier,,Carrier,Перевозчик,
parcel_incoming,,Incoming,Входящий,
parcel_delivered,,Delivered,Доставленный,
parcel_outgoing,,Outgoing,Исходящий,
parcel_letters,,Letters,Письма,
parcel_mail,,Mail,Почта,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d входящий · %2$d исходящий,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d входящие · %2$d исходящие · %3$d букв,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d входящие · %2$d исходящие · %3$d букв,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,%1$d входящий · %2$d исходящий · %3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,История отслеживания,
parcel_tracking_history_subtitle,,Parcel journey and status updates,Путешествие посылки и обновления статуса,
parcel_choose_carrier_account,,Choose a carrier account,Выберите учетную запись оператора связи,
parcel_empty_tab,,No %1$s parcels.,Нет посылок %1$s.,app fills in %1$s — keep them
parcel_no_incoming,,No incoming parcels.,Никаких входящих посылок.,
parcel_no_delivered,,No delivered parcels.,Нет доставленных посылок.,
parcel_no_outgoing,,No outgoing parcels.,Нет исходящих посылок.,
parcel_stage_registered,,Registered,Зарегистрирован,
parcel_stage_sorting,,Sorting,Сортировка,
parcel_stage_on_the_way,,On the way,В пути,
parcel_unknown_status,,Unknown status,Неизвестный статус,
parcel_status_in_transit,,In transit,В пути,
parcel_status_out_for_delivery,,Out for delivery,Выезд на доставку,
parcel_status_at_pickup_point,,Ready at pickup point,Готово в пункте самовывоза,
parcel_status_ready_to_send,,Ready to send,Готов отправить,
parcel_letter_preview,,Letter preview,Предварительный просмотр письма,
parcel_carriers,,Carriers,Перевозчики,
parcel_track_new,,Track a new %1$s parcel by number,Отследить новую посылку %1$s по номеру,app fills in %1$s — keep them
parcel_choose_carrier,,Choose a carrier,Выберите оператора связи,
parcel_settings_subtitle,,"Carrier accounts, aggregation, and appearance","Счета перевозчиков, агрегирование и внешний вид",
parcel_settings_accounts,,Accounts,Счета,
parcel_settings_organization,,Organization,Организация,
parcel_settings_appearance,,Appearance,Появление,
action_remove,,Remove,Удалять,
notification_delete,,Delete notification,Удалить уведомление,
notification_mark_all_read,,Mark all as read,Отметить все как прочитанное,
notification_mark_all_unread,,Mark all as unread,Отметить все как непрочитанные,
notification_delete_all,,Delete all,Удалить все,
notification_delete_all_archived,,Delete all archived,Удалить все заархивированные,
notification_unread,,Unread,Непрочитано,
notification_history,,History,История,
notification_mark_unread,,Mark as unread,Отметить как непрочитанное,
notification_mark_read,,Mark as read,Отметить как прочитанное,
notification_archive,,Archive,Архив,
notification_unarchive,,Unarchive,Разархивировать,
notification_delete_action,,Delete,Удалить,
entity_search_select_items,,Select items,Выберите элементы,
entity_search_choose_one,,Search and choose one entity,Найдите и выберите одну сущность,
entity_search_choose_multiple,,Search and select one or more entities,Найдите и выберите один или несколько объектов,
global_search_title,,Search,Поиск,
global_search_subtitle,,Find and control any Home Assistant device or entity,Находите и контролируйте любое устройство или объект Home Assistant.,don't translate Home Assistant
global_search_clear,,Clear search,Очистить поиск,
global_search_no_devices,,No matching devices.,Нет подходящих устройств.,
global_search_no_entities,,No matching entities.,Нет соответствующих объектов.,
