key,item,english,translation,notes
language_title,,Language,Sprog,
language_display_title,,Display language,Vis sprog,
language_display_subtitle,,Follows your device by default; choose one to override it,Følger din enhed som standard; vælg en for at tilsidesætte den,
language_system,,System default,System standard,
language_selected,,Selected,Valgt,
nav_home,,Home,Hjem,
nav_rooms,,Rooms,Værelser,
nav_security,,Security,Sikkerhed,
nav_energy,,Energy,Energi,
nav_climate,,Climate,Klima,
nav_battery,,Battery,Batteri,
nav_settings,,Settings,Indstillinger,
nav_room_detail,,Room Detail,Rum detalje,
settings_title_connection,,Connection,Forbindelse,
settings_title_profile,,Profile,Profil,
settings_title_location,,Location,Beliggenhed,
settings_title_notifications,,Notifications,Meddelelser,
settings_title_appearance,,Appearance,Udseende,
settings_title_header,,Header,Overskrift,
settings_title_theme,,Theme,Tema,
settings_title_fonts,,Fonts,Skrifttyper,
settings_title_corners,,Corners,Hjørner,
settings_title_icons,,Icons,Ikoner,
settings_title_nav_bar,,Navigation Bar,Navigationslinje,
settings_title_media_players,,Media Players,Medieafspillere,
settings_title_dashboard,,Dashboard,Dashboard,
settings_title_family_sharing,,Family Sharing,Familiedeling,
settings_title_backup_restore,,Backup and Restore,Sikkerhedskopiering og gendannelse,
settings_title_account,,Account,Konto,
settings_title_about,,About HKI 7,Om HKI 7,don't translate HKI 7
settings_title_license,,License,Licens,
settings_title_support,,Support,Støtte,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,"Alt det, der former din HKI 7-oplevelse",don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Din profil og denne app installation,
settings_subtitle_profile,,Personal details used throughout your dashboard,Personlige oplysninger brugt i hele dit dashboard,
settings_subtitle_connection,,Server routes and local-network preferences,Serverruter og lokale netværkspræferencer,
settings_subtitle_location,,Presence updates and background access,Tilstedeværelsesopdateringer og baggrundsadgang,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Dashboards, faner, medieafspillere og popups",
settings_subtitle_appearance,,Make the dashboard feel like yours,Få dashboardet til at føles som dit,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Rundhed af knapper, kort og widgets",
settings_subtitle_icons,,Icon animations and per-domain effects,Ikonanimationer og per-domæne effekter,
settings_subtitle_header,,Choose whether the dashboard header is shown,"Vælg, om dashboard-overskriften skal vises",
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Farve, kontrast, tilstand og hjørnestyling",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Størrelse, vægt og læsbarhed af skrifttyper",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,Vælg hvilke destinationer der altid er inden for rækkevidde,
settings_subtitle_media_players,,Names and mini-player visibility,Navne og synlighed for minispillere,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Push-levering, historik og serviceadfærd",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Beskyt eller flyt din dashboard-konfiguration,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Forældrekontrol, dashboarddeling og modtagertilladelser",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","Projektet, teknologien og folkene bag HKI 7",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Open source-fællesskabskerne og valgfri premium-materialer,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,Måder at hjælpe HKI 7 med at vokse uden at købe Premium,don't translate HKI 7
notification_channel_general,,General,Generel,
location_channel_name,,Location sharing,Placeringsdeling,
location_notification_title,,Home Assistant location,Home Assistant placering,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Deler din placering med Home Assistant,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Notifikationsforbindelse,
push_connection_notification_title,,Connected to Home Assistant,Forbundet til Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,Lytter efter notifikationer,
parcel_title,,Parcels,Pakker,
parcel_generic_carrier,,Carrier,Transportør,
parcel_incoming,,Incoming,Indkommende,
parcel_delivered,,Delivered,Leveret,
parcel_outgoing,,Outgoing,Udgående,
parcel_letters,,Letters,Breve,
parcel_mail,,Mail,Post,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d indgående · %2$d udgående,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d indgående · %2$d udgående · %3$d bogstaver,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d indgående · %2$d udgående · %3$d bogstaver,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,%1$d indgående · %2$d udgående · %3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,Sporingshistorik,
parcel_tracking_history_subtitle,,Parcel journey and status updates,Pakkerejse og statusopdateringer,
parcel_choose_carrier_account,,Choose a carrier account,Vælg en operatørkonto,
parcel_empty_tab,,No %1$s parcels.,Ingen %1$s pakker.,app fills in %1$s — keep them
parcel_no_incoming,,No incoming parcels.,Ingen indgående pakker.,
parcel_no_delivered,,No delivered parcels.,Ingen afleverede pakker.,
parcel_no_outgoing,,No outgoing parcels.,Ingen udgående pakker.,
parcel_stage_registered,,Registered,Registreret,
parcel_stage_sorting,,Sorting,Sortering,
parcel_stage_on_the_way,,On the way,På vej,
parcel_unknown_status,,Unknown status,Ukendt status,
parcel_status_in_transit,,In transit,I transit,
parcel_status_out_for_delivery,,Out for delivery,Ude til levering,
parcel_status_at_pickup_point,,Ready at pickup point,Klar på afhentningsstedet,
parcel_status_ready_to_send,,Ready to send,Klar til at sende,
parcel_letter_preview,,Letter preview,Forhåndsvisning af brev,
parcel_carriers,,Carriers,Transportører,
parcel_track_new,,Track a new %1$s parcel by number,Spor en ny %1$s pakke efter nummer,app fills in %1$s — keep them
parcel_choose_carrier,,Choose a carrier,Vælg en transportør,
parcel_settings_subtitle,,"Carrier accounts, aggregation, and appearance","Transportørkonti, sammenlægning og udseende",
parcel_settings_accounts,,Accounts,Regnskaber,
parcel_settings_organization,,Organization,Organisation,
parcel_settings_appearance,,Appearance,Udseende,
action_remove,,Remove,Fjerne,
notification_delete,,Delete notification,Slet notifikation,
notification_mark_all_read,,Mark all as read,Marker alle som læst,
notification_mark_all_unread,,Mark all as unread,Marker alle som ulæste,
notification_delete_all,,Delete all,Slet alle,
notification_delete_all_archived,,Delete all archived,Slet alle arkiverede,
notification_unread,,Unread,Ulæst,
notification_history,,History,Historie,
