key,item,english,translation,notes
language_title,,Language,Jazyk,
language_display_title,,Display language,Jazyk zobrazení,
language_display_subtitle,,Follows your device by default; choose one to override it,"Ve výchozím nastavení následuje vaše zařízení; vyberte jednu, kterou chcete přepsat",
language_system,,System default,Výchozí nastavení systému,
language_selected,,Selected,Vybraný,
nav_home,,Home,Domov,
nav_rooms,,Rooms,Pokoje,
nav_security,,Security,Zabezpečení,
nav_energy,,Energy,Energie,
nav_climate,,Climate,Podnebí,
nav_battery,,Battery,Baterie,
nav_settings,,Settings,Nastavení,
nav_room_detail,,Room Detail,Detail pokoje,
settings_title_connection,,Connection,Spojení,
settings_title_profile,,Profile,Profil,
settings_title_location,,Location,Umístění,
settings_title_notifications,,Notifications,Oznámení,
settings_title_appearance,,Appearance,Vzhled,
settings_title_header,,Header,Záhlaví,
settings_title_theme,,Theme,Téma,
settings_title_fonts,,Fonts,Písma,
settings_title_corners,,Corners,Rohy,
settings_title_icons,,Icons,ikony,
settings_title_nav_bar,,Navigation Bar,Navigační lišta,
settings_title_media_players,,Media Players,Přehrávače médií,
settings_title_dashboard,,Dashboard,Dashboard,
settings_title_family_sharing,,Family Sharing,Rodinné sdílení,
settings_title_backup_restore,,Backup and Restore,Zálohování a obnovení,
settings_title_account,,Account,Účet,
settings_title_about,,About HKI 7,O HKI 7,don't translate HKI 7
settings_title_license,,License,Licence,
settings_title_support,,Support,Podpora,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,"Vše, co utváří váš HKI 7 zážitek",don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Váš profil a instalace této aplikace,
settings_subtitle_profile,,Personal details used throughout your dashboard,Osobní údaje používané na vašem řídicím panelu,
settings_subtitle_connection,,Server routes and local-network preferences,Trasy serveru a předvolby místní sítě,
settings_subtitle_location,,Presence updates and background access,Aktualizace přítomnosti a přístup na pozadí,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Řídicí panely, karty, přehrávače médií a vyskakovací okna",
settings_subtitle_appearance,,Make the dashboard feel like yours,Nechte palubní desku vypadat jako vy,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Kulatost tlačítek, karet a widgetů",
settings_subtitle_icons,,Icon animations and per-domain effects,Animace ikon a efekty pro jednotlivé domény,
settings_subtitle_header,,Choose whether the dashboard header is shown,"Zvolte, zda se má zobrazovat záhlaví řídicího panelu",
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Barva, kontrast, režim a styling rohů",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Velikost, hmotnost a čitelnost písma",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,"Vyberte si, které destinace jsou vždy na dosah",
settings_subtitle_media_players,,Names and mini-player visibility,Jména a viditelnost minihráčů,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Push doručení, historii a chování služby",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Chraňte nebo přesuňte konfiguraci řídicího panelu,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Rodičovská kontrola, sdílení řídicího panelu a oprávnění příjemců",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","Projekt, technologie a lidé stojící za HKI 7",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Open source komunitní jádro a volitelné prémiové materiály,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,"Způsoby, jak pomoci HKI 7 růst bez nákupu Premium",don't translate HKI 7
notification_channel_general,,General,Generál,
location_channel_name,,Location sharing,Sdílení polohy,
location_notification_title,,Home Assistant location,Home Assistant umístění,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Sdílení polohy s Home Assistant,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Připojení oznámení,
push_connection_notification_title,,Connected to Home Assistant,Připojeno k Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,Poslouchání oznámení,
parcel_title,,Parcels,Pozemky,
parcel_generic_carrier,,Carrier,Dopravce,
parcel_incoming,,Incoming,Přicházející,
parcel_delivered,,Delivered,Doručeno,
parcel_outgoing,,Outgoing,Odchozí,
parcel_letters,,Letters,Dopisy,
parcel_mail,,Mail,Mail,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d příchozí · %2$d odchozí,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d příchozí · %2$d odchozí · %3$d písmen,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d příchozí · %2$d odchozí · %3$d písmen,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,%1$d příchozí · %2$d odchozí · %3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,Historie sledování,
parcel_tracking_history_subtitle,,Parcel journey and status updates,Aktualizace cesty balíku a stavu,
parcel_choose_carrier_account,,Choose a carrier account,Vyberte účet operátora,
parcel_empty_tab,,No %1$s parcels.,Žádné %1$s balíky.,app fills in %1$s — keep them
parcel_no_incoming,,No incoming parcels.,Žádné příchozí balíčky.,
parcel_no_delivered,,No delivered parcels.,Žádné doručené balíky.,
parcel_no_outgoing,,No outgoing parcels.,Žádné odchozí balíky.,
parcel_stage_registered,,Registered,Registrovaný,
parcel_stage_sorting,,Sorting,Řazení,
parcel_stage_on_the_way,,On the way,Na cestě,
parcel_unknown_status,,Unknown status,Neznámý stav,
parcel_status_in_transit,,In transit,V tranzitu,
parcel_status_out_for_delivery,,Out for delivery,Ven k doručení,
parcel_status_at_pickup_point,,Ready at pickup point,Připraveno v místě vyzvednutí,
parcel_status_ready_to_send,,Ready to send,Připraveno k odeslání,
parcel_letter_preview,,Letter preview,Náhled dopisu,
parcel_carriers,,Carriers,Nosiče,
parcel_track_new,,Track a new %1$s parcel by number,Sledujte nový balík %1$s podle čísla,app fills in %1$s — keep them
parcel_choose_carrier,,Choose a carrier,Vyberte dopravce,
parcel_settings_subtitle,,"Carrier accounts, aggregation, and appearance","Účty operátora, agregace a vzhled",
parcel_settings_accounts,,Accounts,Účty,
parcel_settings_organization,,Organization,Organizace,
parcel_settings_appearance,,Appearance,Vzhled,
action_remove,,Remove,Odstranit,
notification_delete,,Delete notification,Smazat oznámení,
notification_mark_all_read,,Mark all as read,Označit vše jako přečtené,
notification_mark_all_unread,,Mark all as unread,Označit vše jako nepřečtené,
notification_delete_all,,Delete all,Smazat vše,
notification_delete_all_archived,,Delete all archived,Smazat vše archivované,
notification_unread,,Unread,Nepřečtený,
notification_history,,History,Dějiny,
notification_mark_unread,,Mark as unread,Označit jako nepřečtené,
notification_mark_read,,Mark as read,Označit jako přečtené,
notification_archive,,Archive,Archiv,
notification_unarchive,,Unarchive,Zrušit archivaci,
notification_delete_action,,Delete,Vymazat,
entity_search_select_items,,Select items,Vyberte položky,
