key,item,english,translation,notes
language_title,,Language,언어,
language_display_title,,Display language,표시 언어,
language_display_subtitle,,Follows your device by default; choose one to override it,기본적으로 기기 설정을 따릅니다. 재정의하려면 하나를 선택하세요,
language_system,,System default,시스템 기본값,
language_selected,,Selected,선택됨,
nav_home,,Home,홈,
nav_rooms,,Rooms,방,
nav_security,,Security,보안,
nav_energy,,Energy,에너지,
nav_climate,,Climate,공조,
nav_battery,,Battery,배터리,
nav_settings,,Settings,설정,
nav_room_detail,,Room Detail,방 상세,
settings_title_connection,,Connection,연결,
settings_title_profile,,Profile,프로필,
settings_title_location,,Location,위치,
settings_title_notifications,,Notifications,알림,
settings_title_appearance,,Appearance,모양,
settings_title_header,,Header,헤더,
settings_title_theme,,Theme,테마,
settings_title_fonts,,Fonts,글꼴,
settings_title_corners,,Corners,모서리,
settings_title_icons,,Icons,아이콘,
settings_title_nav_bar,,Navigation Bar,탐색 바,
settings_title_media_players,,Media Players,미디어 플레이어,
settings_title_dashboard,,Dashboard,대시보드,
settings_title_family_sharing,,Family Sharing,가족 공유,
settings_title_backup_restore,,Backup and Restore,백업 및 복원,
settings_title_account,,Account,계정,
settings_title_about,,About HKI 7,HKI 7 정보,don't translate HKI 7
settings_title_license,,License,라이선스,
settings_title_support,,Support,지원,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,HKI 7 경험을 구성하는 모든 것,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,프로필 및 이 앱 설치 정보,
settings_subtitle_profile,,Personal details used throughout your dashboard,대시보드 전반에서 사용되는 개인 정보,
settings_subtitle_connection,,Server routes and local-network preferences,서버 경로 및 로컬 네트워크 환경설정,
settings_subtitle_location,,Presence updates and background access,위치 업데이트 및 백그라운드 접근,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","대시보드, 탭, 미디어 플레이어 및 팝업",
settings_subtitle_appearance,,Make the dashboard feel like yours,대시보드를 나만의 스타일로 꾸며보세요,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","버튼, 카드, 위젯의 모서리 둥글기",
settings_subtitle_icons,,Icon animations and per-domain effects,아이콘 애니메이션 및 도메인별 효과,
settings_subtitle_header,,Choose whether the dashboard header is shown,대시보드 헤더 표시 여부 선택,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","색상, 대비, 모드, 모서리 스타일",
settings_subtitle_fonts,,"Size, weight, and typeface readability","글꼴 크기, 굵기, 가독성",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,항상 표시할 대상을 선택하세요,
settings_subtitle_media_players,,Names and mini-player visibility,이름 및 미니 플레이어 표시 여부,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","푸시 전달, 기록, 서비스 동작",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,대시보드 구성을 보호하거나 이동하세요,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","자녀 보호, 대시보드 공유, 수신자 권한",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","HKI 7의 프로젝트, 기술, 그리고 참여자",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,오픈소스 커뮤니티 코어 및 선택적 프리미엄 자료,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,프리미엄 구매 없이 HKI 7의 성장을 돕는 방법,don't translate HKI 7
notification_channel_general,,General,일반,
location_channel_name,,Location sharing,위치 공유,
location_notification_title,,Home Assistant location,Home Assistant 위치,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Home Assistant와 위치를 공유하는 중,don't translate Home Assistant
push_connection_channel_name,,Notification connection,알림 연결,
push_connection_notification_title,,Connected to Home Assistant,Home Assistant에 연결됨,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,알림을 수신하는 중,
parcel_title,,Parcels,택배,
parcel_generic_carrier,,Carrier,택배사,
parcel_incoming,,Incoming,수신,
parcel_delivered,,Delivered,배송 완료,
parcel_outgoing,,Outgoing,발신,
parcel_letters,,Letters,우편,
parcel_mail,,Mail,우편함,
parcel_summary,,%1$d incoming · %2$d outgoing,수신 %1$d · 발신 %2$d,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,수신 %1$d · 발신 %2$d · 우편 %3$d,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,수신 %1$d · 발신 %2$d · 우편 %3$d,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,수신 %1$d · 발신 %2$d · %3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,배송 조회 기록,
parcel_tracking_history_subtitle,,Parcel journey and status updates,택배 이동 경로 및 상태 업데이트,
parcel_choose_carrier_account,,Choose a carrier account,택배사 계정 선택,
parcel_empty_tab,,No %1$s parcels.,%1$s 택배가 없습니다.,app fills in %1$s — keep them
parcel_no_incoming,,No incoming parcels.,수신 중인 택배가 없습니다.,
parcel_no_delivered,,No delivered parcels.,배송 완료된 택배가 없습니다.,
parcel_no_outgoing,,No outgoing parcels.,발신 중인 택배가 없습니다.,
parcel_stage_registered,,Registered,등록됨,
parcel_stage_sorting,,Sorting,분류 중,
parcel_stage_on_the_way,,On the way,배송 중,
parcel_unknown_status,,Unknown status,알 수 없는 상태,
parcel_status_in_transit,,In transit,운송 중,
parcel_status_out_for_delivery,,Out for delivery,배송 출발,
parcel_status_at_pickup_point,,Ready at pickup point,수령 장소에 도착,
parcel_status_ready_to_send,,Ready to send,발송 준비 완료,
parcel_letter_preview,,Letter preview,우편 미리보기,
parcel_carriers,,Carriers,택배사,
parcel_track_new,,Track a new %1$s parcel by number,운송장 번호로 새 %1$s 택배 추적,app fills in %1$s — keep them
parcel_choose_carrier,,Choose a carrier,택배사 선택,
parcel_settings_subtitle,,"Carrier accounts, aggregation, and appearance","택배사 계정, 통합, 모양",
parcel_settings_accounts,,Accounts,계정,
parcel_settings_organization,,Organization,구성,
parcel_settings_appearance,,Appearance,모양,
action_remove,,Remove,제거,
notification_delete,,Delete notification,알림 삭제,
notification_mark_all_read,,Mark all as read,모두 읽음으로 표시,
notification_mark_all_unread,,Mark all as unread,모두 읽지 않음으로 표시,
notification_delete_all,,Delete all,모두 삭제,
notification_delete_all_archived,,Delete all archived,보관된 항목 모두 삭제,
notification_unread,,Unread,읽지 않음,
notification_history,,History,기록,
notification_mark_unread,,Mark as unread,읽지 않음으로 표시,
notification_mark_read,,Mark as read,읽음으로 표시,
notification_archive,,Archive,보관,
notification_unarchive,,Unarchive,보관 취소,
notification_delete_action,,Delete,삭제,
entity_search_select_items,,Select items,항목 선택,
entity_search_choose_one,,Search and choose one entity,엔티티를 검색하고 하나를 선택하세요,
entity_search_choose_multiple,,Search and select one or more entities,엔티티를 검색하고 하나 이상 선택하세요,
global_search_title,,Search,검색,
global_search_subtitle,,Find and control any Home Assistant device or entity,모든 Home Assistant 기기 또는 엔티티를 찾아 제어하세요,don't translate Home Assistant
global_search_clear,,Clear search,검색 지우기,
global_search_no_devices,,No matching devices.,일치하는 기기가 없습니다.,
global_search_no_entities,,No matching entities.,일치하는 엔티티가 없습니다.,
security_title,,Security,보안,
security_subtitle,,Home status and activity,홈 상태 및 활동,
security_settings,,Security settings,보안 설정,
security_entities,,Security entities,보안 엔티티,
security_reimport,,Re-import,다시 가져오기,
security_group_doors,,Doors,문,
security_group_doors_subtitle,,Door contacts,문 접점 센서,
security_group_windows,,Windows,창문,
security_group_windows_subtitle,,Window contacts,창문 접점 센서,
security_group_openings,,Openings,개폐부,
security_group_openings_subtitle,,Garage doors and other openings,차고문 및 기타 개폐부,
security_group_garage_doors,,Garage doors,차고문,
security_group_garage_doors_subtitle,,Garage door covers,차고문 커버,
security_group_covers,,Covers,커버,
security_group_covers_subtitle,,"Blinds, shutters, and gates","블라인드, 셔터, 게이트",
security_group_locks,,Locks,잠금장치,
security_group_locks_subtitle,,Door and gate locks,문 및 게이트 잠금장치,
security_group_motion,,Motion,움직임,
security_group_motion_subtitle,,Motion detection,움직임 감지,
security_group_presence,,Presence,재실,
security_group_presence_subtitle,,Occupancy sensors,재실 감지 센서,
security_group_fire,,Fire and temperature,화재 및 온도,
security_group_fire_subtitle,,"Fire, heat, cold, and safety alarms","화재, 열, 냉기, 안전 경보",
security_group_smoke,,Smoke,연기,
security_group_smoke_subtitle,,Smoke detectors,연기 감지기,
security_group_gas,,Gas,가스,
security_group_gas_subtitle,,Combustible gas sensors,가연성 가스 센서,
security_group_co2,,CO / CO₂,CO / CO₂,
security_group_co2_subtitle,,Carbon monoxide and carbon dioxide sensors,일산화탄소 및 이산화탄소 센서,
security_group_moisture,,Leaks,누수,
security_group_moisture_subtitle,,Moisture and water leaks,습기 및 누수 감지,
security_group_sound,,Sound,소음,
security_group_sound_subtitle,,Sound and glass-break sensors,소음 및 유리 파손 감지 센서,
security_group_light,,Light detection,조도 감지,
security_group_light_subtitle,,Light and beam sensors,조도 및 광선 센서,
security_group_alarms,,Alarm systems,경보 시스템,
security_group_alarms_subtitle,,Alarm control panels,경보 제어판,
security_group_cameras,,Cameras,카메라,
security_group_cameras_subtitle,,Camera feeds,카메라 피드,
security_no_search_active,,No search active · %1$s,검색 안 함 · %1$s,app fills in %1$s — keep them
security_status_alert,,Security alert,보안 경고,
security_status_alarm_pending,,Alarm pending,경보 대기 중,
security_status_changing_alarm,,Changing alarm mode,경보 모드 변경 중,
security_status_needs_attention,,Needs attention,확인이 필요합니다,
security_status_motion,,Motion detected,움직임 감지됨,
security_status_sensor_activity,,Sensor activity,센서 활동,
security_status_alarm_unavailable,,Alarm unavailable,경보 사용 불가,
security_status_devices_unavailable,,Devices unavailable,기기 사용 불가,
security_status_cameras_offline,,Cameras offline,카메라 오프라인,
security_status_all_secure,,All secure,모두 안전함,
security_status_alarm_disarmed,,Alarm disarmed,경보 해제됨,
security_status_all_clear,,All clear,모두 정상,
security_status_no_data,,No security data,보안 데이터 없음,
security_metric_openings,,Openings,개폐부,
security_metric_locked,,Locked,잠김,
security_metric_cameras_online,,Cameras online,온라인 카메라,
security_card_title,,Security card,보안 카드,
security_card_subtitle,,"Name, layout, and card appearance","이름, 레이아웃, 카드 모양",
security_stat_total,,Total,전체,
security_stat_active,,Active,활성,
security_stat_clear,,Clear,정상,
security_cover_open,,Open,열기,
security_cover_stop,,Stop,정지,
security_cover_close,,Close,닫기,
security_restore,,Restore,복원,
security_empty,,This is an empty security view. Swipe down on the header and open Security settings to add entities manually.,보안 화면이 비어 있습니다. 헤더를 아래로 스와이프하고 보안 설정을 열어 엔티티를 수동으로 추가하세요.,
connection_stopping_for_restart,,Stopping for restart…,재시작을 위해 중지하는 중…,
connection_starting,,Home Assistant is starting…,Home Assistant가 시작 중입니다…,don't translate Home Assistant
connection_restoring_dashboard,,Restoring your dashboard…,대시보드를 복원하는 중…,
connection_restarting,,Home Assistant is restarting…,Home Assistant가 재시작 중입니다…,don't translate Home Assistant
connection_auto_generating,,Auto-generating rooms and widgets…,방 및 위젯 자동 생성 중…,
connection_reconnecting,,Reconnecting to Home Assistant…,Home Assistant에 다시 연결 중…,don't translate Home Assistant
connection_unavailable_retrying,,Unavailable · Retrying…,사용할 수 없음 · 재시도 중…,
connection_paused,,Connection paused,연결 일시 중지됨,
connection_connected,,Connected,연결됨,
connection_server_not_found,,Server address could not be found,서버 주소를 찾을 수 없습니다,
connection_timed_out,,Connection timed out,연결 시간이 초과되었습니다,
connection_no_route,,No network route to Home Assistant,Home Assistant로 가는 네트워크 경로가 없습니다,don't translate Home Assistant
connection_could_not_connect,,Could not connect to Home Assistant,Home Assistant에 연결할 수 없습니다,don't translate Home Assistant
connection_secure_failed,,Secure connection failed,보안 연결에 실패했습니다,
connection_session_expired_refreshing,,Session expired · Refreshing login…,세션 만료 · 로그인 갱신 중…,
connection_interrupted,,Connection was interrupted,연결이 중단되었습니다,
connection_error_title,,Connection error,연결 오류,
connection_all_systems_normal,,All systems normal,모든 시스템 정상,
action_undo,,Undo,실행 취소,
action_redo,,Redo,다시 실행,
connection_route_local,,Local,로컬,
connection_route_nabu_casa,,Nabu Casa,Nabu Casa,don't translate Nabu Casa
connection_route_external,,External,외부,
settings_connection_via,,Connected via %1$s,%1$s(으)로 연결됨,app fills in %1$s — keep them
settings_connection_unknown,,Unknown,알 수 없음,
settings_connection_connecting,,Connecting…,연결 중…,
settings_this_home,,this home,이 홈,
settings_local_network_allowed,,Allowed,허용된,
settings_local_network_not_allowed,,Not allowed — Home Assistant cannot be reached directly on your Wi-Fi,허용되지 않음 - Wi-Fi에서 Home Assistant에 직접 연결할 수 없습니다.,don't translate Home Assistant
settings_current_wifi,,Current Wi-Fi,현재 Wi-Fi,
settings_wifi_unavailable,,Not connected or location permission is missing,연결되어 있지 않거나 위치 권한이 없습니다,
settings_just_now,,just now,방금 전,
settings_primary_app_language,,Primary application language,기본 앱 언어,
settings_android_build_configuration,,Android resources and build configuration,Android 리소스 및 빌드 구성,
page_settings_default_title,,Page settings,페이지 설정,
page_settings_choose_area,,Choose an area to configure,구성할 영역을 선택하세요,
page_settings_focused_options,,Focused options for this page area,이 페이지 영역에 대한 집중 옵션,
page_settings_header_description,,Wallpaper and custom header color,배경 화면 및 사용자 지정 헤더 색상,
page_settings_custom_page_description,,"Name, subtitle, and navigation icon","이름, 부제목, 탐색 아이콘",
page_settings_badge_bar,,Badge bar,배지 바,
