key,item,english,translation,notes
language_title,,Language,Dil,
language_display_title,,Display language,Ekran dili,
language_display_subtitle,,Follows your device by default; choose one to override it,Cihazınızı varsayılan olarak takip eder; geçersiz kılmak için birini seçin,
language_system,,System default,Sistem varsayılanı,
language_selected,,Selected,Seçildi,
nav_home,,Home,Ev,
nav_rooms,,Rooms,Odalar,
nav_security,,Security,Güvenlik,
nav_energy,,Energy,Enerji,
nav_climate,,Climate,İklim,
nav_battery,,Battery,Pil,
nav_settings,,Settings,Ayarlar,
nav_room_detail,,Room Detail,Oda Detayı,
settings_title_connection,,Connection,Bağlantı,
settings_title_profile,,Profile,Profil,
settings_title_location,,Location,Konum,
settings_title_notifications,,Notifications,Bildirimler,
settings_title_appearance,,Appearance,Dış görünüş,
settings_title_header,,Header,Başlık,
settings_title_theme,,Theme,Tema,
settings_title_fonts,,Fonts,Yazı tipleri,
settings_title_corners,,Corners,Köşeler,
settings_title_icons,,Icons,Simgeler,
settings_title_nav_bar,,Navigation Bar,Gezinme Çubuğu,
settings_title_media_players,,Media Players,Medya Oynatıcıları,
settings_title_dashboard,,Dashboard,Kontrol Paneli,
settings_title_family_sharing,,Family Sharing,Aile Paylaşımı,
settings_title_backup_restore,,Backup and Restore,Yedekleme ve Geri Yükleme,
settings_title_account,,Account,Hesap,
settings_title_about,,About HKI 7,HKI 7 Hakkında,don't translate HKI 7
settings_title_license,,License,Lisans,
settings_title_support,,Support,Destek,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,HKI 7 deneyiminizi şekillendiren her şey,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Profiliniz ve bu uygulama kurulumu,
settings_subtitle_profile,,Personal details used throughout your dashboard,Kontrol panelinizde kullanılan kişisel ayrıntılar,
settings_subtitle_connection,,Server routes and local-network preferences,Sunucu rotaları ve yerel ağ tercihleri,
settings_subtitle_location,,Presence updates and background access,Durum güncellemeleri ve arka planda erişim,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Kontrol panelleri, sekmeler, medya oynatıcılar ve açılır pencereler",
settings_subtitle_appearance,,Make the dashboard feel like yours,Kontrol panelinin size aitmiş gibi hissetmesini sağlayın,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Düğmelerin, kartların ve widget'ların yuvarlaklığı",
settings_subtitle_icons,,Icon animations and per-domain effects,Simge animasyonları ve etki alanı başına efektler,
settings_subtitle_header,,Choose whether the dashboard header is shown,Kontrol paneli başlığının gösterilip gösterilmeyeceğini seçin,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Renk, kontrast, mod ve köşe stili",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Boyut, ağırlık ve yazı tipinin okunabilirliği",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,Hangi hedeflerin her zaman ulaşılabilir olacağını seçin,
settings_subtitle_media_players,,Names and mini-player visibility,İsimler ve mini oynatıcı görünürlüğü,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Anlık teslimat, geçmiş ve hizmet davranışı",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Kontrol paneli yapılandırmanızı koruyun veya taşıyın,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Ebeveyn denetimleri, kontrol paneli paylaşımı ve alıcı izinleri",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","HKI 7'nin arkasındaki proje, teknoloji ve kişiler",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Açık kaynak topluluk çekirdeği ve isteğe bağlı premium materyaller,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,HKI 7'nin Premium satın almadan büyümesine yardımcı olmanın yolları,don't translate HKI 7
notification_channel_general,,General,Genel,
location_channel_name,,Location sharing,Konum paylaşımı,
location_notification_title,,Home Assistant location,Home Assistant konumu,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Konumunuz Home Assistant ile paylaşılıyor,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Bildirim bağlantısı,
push_connection_notification_title,,Connected to Home Assistant,Home Assistant'a bağlandı,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,Bildirimler bekleniyor,
parcel_title,,Parcels,Paketler,
parcel_generic_carrier,,Carrier,Taşıyıcı,
parcel_incoming,,Incoming,Gelen,
parcel_delivered,,Delivered,Teslim edildi,
