key,item,english,translation,notes
language_title,,Language,שָׂפָה,
language_display_title,,Display language,שפת תצוגה,
language_display_subtitle,,Follows your device by default; choose one to override it,עוקב אחר המכשיר שלך כברירת מחדל; בחר אחד כדי לעקוף אותו,
language_system,,System default,ברירת המחדל של המערכת,
language_selected,,Selected,נִבחָר,
nav_home,,Home,בַּיִת,
nav_rooms,,Rooms,חדרים,
nav_security,,Security,בִּטָחוֹן,
nav_energy,,Energy,אֵנֶרְגִיָה,
nav_climate,,Climate,אַקלִים,
nav_battery,,Battery,סוֹלְלָה,
nav_settings,,Settings,הגדרות,
nav_room_detail,,Room Detail,פרטי חדר,
settings_title_connection,,Connection,קֶשֶׁר,
settings_title_profile,,Profile,פּרוֹפִיל,
settings_title_location,,Location,מִקוּם,
settings_title_notifications,,Notifications,התראות,
settings_title_appearance,,Appearance,הוֹפָעָה,
settings_title_header,,Header,כּוֹתֶרֶת,
settings_title_theme,,Theme,נוֹשֵׂא,
settings_title_fonts,,Fonts,גופנים,
settings_title_corners,,Corners,פינות,
settings_title_icons,,Icons,אייקונים,
settings_title_nav_bar,,Navigation Bar,סרגל ניווט,
settings_title_media_players,,Media Players,נגני מדיה,
settings_title_dashboard,,Dashboard,לוּחַ מַחווָנִים,
settings_title_family_sharing,,Family Sharing,שיתוף משפחה,
settings_title_backup_restore,,Backup and Restore,גיבוי ושחזור,
settings_title_account,,Account,חֶשְׁבּוֹן,
settings_title_about,,About HKI 7,אודות HKI 7,don't translate HKI 7
settings_title_license,,License,רִשָׁיוֹן,
settings_title_support,,Support,תְמִיכָה,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,כל מה שמעצב את חווית ה-HKI 7 שלך,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,הפרופיל שלך והתקנת האפליקציה הזו,
settings_subtitle_profile,,Personal details used throughout your dashboard,פרטים אישיים בשימוש בכל לוח המחוונים שלך,
