key,item,english,translation,notes
language_title,,Language,Taal,
language_display_title,,Display language,Weergavetaal,
language_display_subtitle,,Follows your device by default; choose one to override it,Gebruikt standaard de systeemtaal; kies hier een andere taal voor de app,
language_system,,System default,Systeemstandaard,
language_selected,,Selected,Geselecteerd,
nav_home,,Home,Thuis,
nav_rooms,,Rooms,Kamers,
nav_security,,Security,Beveiliging,
nav_energy,,Energy,Energie,
nav_climate,,Climate,Klimaat,
nav_battery,,Battery,Batterij,
nav_settings,,Settings,Instellingen,
nav_room_detail,,Room Detail,Kamerdetails,
settings_title_connection,,Connection,Verbinding,
settings_title_profile,,Profile,Profiel,
settings_title_location,,Location,Locatie,
settings_title_notifications,,Notifications,Meldingen,
settings_title_appearance,,Appearance,Weergave,
settings_title_header,,Header,Dashboardkop,
settings_title_theme,,Theme,Thema,
settings_title_fonts,,Fonts,Lettertypen,
settings_title_corners,,Corners,Hoekafronding,
settings_title_icons,,Icons,Pictogrammen,
settings_title_nav_bar,,Navigation Bar,Navigatiebalk,
settings_title_media_players,,Media Players,Mediaspelers,
settings_title_dashboard,,Dashboard,Dashboard,
settings_title_family_sharing,,Family Sharing,Delen met gezin,
settings_title_backup_restore,,Backup and Restore,Back-up maken en herstellen,
settings_title_account,,Account,Account,
settings_title_about,,About HKI 7,Over HKI 7,don't translate HKI 7
settings_title_license,,License,Licentie,
settings_title_support,,Support,Ondersteuning,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,Alles wat jouw HKI 7-ervaring vormgeeft,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Je profiel en deze app-installatie,
settings_subtitle_profile,,Personal details used throughout your dashboard,Persoonlijke gegevens voor je hele dashboard,
settings_subtitle_connection,,Server routes and local-network preferences,Serveradressen en voorkeuren voor je lokale netwerk,
settings_subtitle_location,,Presence updates and background access,Aanwezigheidsupdates en achtergrondtoegang,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Dashboards, tabbladen, mediaspelers en pop-ups",
settings_subtitle_appearance,,Make the dashboard feel like yours,Geef het dashboard je eigen stijl,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Afronding van knoppen, kaarten en widgets",
settings_subtitle_icons,,Icon animations and per-domain effects,Pictogramanimaties en effecten per domein,
settings_subtitle_header,,Choose whether the dashboard header is shown,Bepaal of de dashboardkop wordt weergegeven,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Kleur, contrast, modus en afgeronde hoeken",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Lettergrootte, -dikte en leesbaarheid",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,Kies welke pagina’s altijd binnen handbereik zijn,
settings_subtitle_media_players,,Names and mini-player visibility,Namen en zichtbaarheid van de minispeler,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Pushmeldingen, geschiedenis en servicewerking",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Beveilig of verplaats je dashboardconfiguratie,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Ouderlijk toezicht, dashboards delen en rechten per ontvanger",
