key,item,english,translation,notes
language_title,,Language,Idioma,
language_display_title,,Display language,Idioma de pantalla,
language_display_subtitle,,Follows your device by default; choose one to override it,Sigue tu dispositivo de forma predeterminada; elige uno para anularlo,
language_system,,System default,Predeterminado del sistema,
language_selected,,Selected,Seleccionado,
nav_home,,Home,Inicio,
nav_rooms,,Rooms,Habitaciones,
nav_security,,Security,Seguridad,
nav_energy,,Energy,Energía,
nav_climate,,Climate,Clima,
nav_battery,,Battery,Batería,
nav_settings,,Settings,Ajustes,
nav_room_detail,,Room Detail,Detalle de la habitación,
settings_title_connection,,Connection,Conexión,
settings_title_profile,,Profile,Perfil,
settings_title_location,,Location,Ubicación,
settings_title_notifications,,Notifications,Notificaciones,
settings_title_appearance,,Appearance,Apariencia,
settings_title_header,,Header,Encabezado,
settings_title_theme,,Theme,Tema,
settings_title_fonts,,Fonts,Fuentes,
settings_title_corners,,Corners,Esquinas,
settings_title_icons,,Icons,Íconos,
settings_title_nav_bar,,Navigation Bar,Barra de navegación,
settings_title_media_players,,Media Players,Reproductores multimedia,
settings_title_dashboard,,Dashboard,Panel,
settings_title_family_sharing,,Family Sharing,Uso compartido familiar,
settings_title_backup_restore,,Backup and Restore,Copia de seguridad y restauración,
settings_title_account,,Account,Cuenta,
settings_title_about,,About HKI 7,Acerca de HKI 7,don't translate HKI 7
settings_title_license,,License,Licencia,
settings_title_support,,Support,Soporte,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,Todo lo que da forma a tu experiencia con HKI 7,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Tu perfil y esta instalación de la aplicación,
settings_subtitle_profile,,Personal details used throughout your dashboard,Datos personales usados en todo tu panel,
settings_subtitle_connection,,Server routes and local-network preferences,Rutas del servidor y preferencias de red local,
settings_subtitle_location,,Presence updates and background access,Actualizaciones de presencia y acceso en segundo plano,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Paneles de control, pestañas, reproductores multimedia y ventanas emergentes",
settings_subtitle_appearance,,Make the dashboard feel like yours,Haz que el panel se sienta como tuyo,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Redondez de botones, tarjetas y widgets",
settings_subtitle_icons,,Icon animations and per-domain effects,Animaciones de íconos y efectos por dominio,
settings_subtitle_header,,Choose whether the dashboard header is shown,Elige si se muestra el encabezado del panel,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Color, contraste, modo y estilo de esquinas",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Tamaño, grosor y legibilidad del tipo de letra",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,Elige qué destinos están siempre a tu alcance,
settings_subtitle_media_players,,Names and mini-player visibility,Nombres y visibilidad del reproductor mini,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Entrega de notificaciones push, historial y comportamiento del servicio",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Protege o mueve la configuración de tu panel,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Controles parentales, uso compartido de paneles y permisos de destinatarios",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","El proyecto, la tecnología y las personas detrás de HKI 7",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Núcleo comunitario de código abierto y materiales premium opcionales,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,Formas de ayudar a HKI 7 a crecer sin comprar Premium,don't translate HKI 7
notification_channel_general,,General,General,
location_channel_name,,Location sharing,Compartir ubicación,
location_notification_title,,Home Assistant location,Ubicación de Home Assistant,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Compartiendo tu ubicación con Home Assistant,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Conexión de notificaciones,
push_connection_notification_title,,Connected to Home Assistant,Conectado a Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,Escuchando notificaciones,
parcel_title,,Parcels,Paquetes,
parcel_generic_carrier,,Carrier,Transportista,
parcel_incoming,,Incoming,Entrantes,
parcel_delivered,,Delivered,Entregado,
parcel_outgoing,,Outgoing,Salientes,
parcel_letters,,Letters,Cartas,
parcel_mail,,Mail,Correo,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d entrando · %2$d saliendo,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d entrando · %2$d saliendo · %3$d cartas,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d entrando · %2$d saliendo · %3$d cartas,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,%1$d entrando · %2$d saliendo · %3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,Historial de rastreo,
parcel_tracking_history_subtitle,,Parcel journey and status updates,Trayecto del paquete y actualizaciones de estado,
parcel_choose_carrier_account,,Choose a carrier account,Elige una cuenta de transportista,
parcel_empty_tab,,No %1$s parcels.,No hay paquetes %1$s.,app fills in %1$s — keep them
parcel_no_incoming,,No incoming parcels.,No hay paquetes entrantes.,
parcel_no_delivered,,No delivered parcels.,No hay paquetes entregados.,
parcel_no_outgoing,,No outgoing parcels.,No hay paquetes salientes.,
parcel_stage_registered,,Registered,Registrado,
parcel_stage_sorting,,Sorting,Clasificando,
parcel_stage_on_the_way,,On the way,En camino,
parcel_unknown_status,,Unknown status,Estado desconocido,
parcel_status_in_transit,,In transit,En tránsito,
parcel_status_out_for_delivery,,Out for delivery,En reparto,
parcel_status_at_pickup_point,,Ready at pickup point,Listo en el punto de recogida,
parcel_status_ready_to_send,,Ready to send,Listo para enviar,
parcel_letter_preview,,Letter preview,Vista previa de la carta,
parcel_carriers,,Carriers,Transportistas,
parcel_track_new,,Track a new %1$s parcel by number,Rastrear un nuevo paquete de %1$s por número,app fills in %1$s — keep them
parcel_choose_carrier,,Choose a carrier,Elige un transportista,
parcel_settings_subtitle,,"Carrier accounts, aggregation, and appearance","Cuentas de transportistas, agrupación y apariencia",
parcel_settings_accounts,,Accounts,Cuentas,
parcel_settings_organization,,Organization,Organización,
parcel_settings_appearance,,Appearance,Apariencia,
action_remove,,Remove,Quitar,
notification_delete,,Delete notification,Eliminar notificación,
notification_mark_all_read,,Mark all as read,Marcar todas como leídas,
notification_mark_all_unread,,Mark all as unread,Marcar todas como no leídas,
notification_delete_all,,Delete all,Eliminar todas,
notification_delete_all_archived,,Delete all archived,Eliminar todas las archivadas,
notification_unread,,Unread,No leída,
notification_history,,History,Historial,
notification_mark_unread,,Mark as unread,Marcar como no leída,
notification_mark_read,,Mark as read,Marcar como leída,
notification_archive,,Archive,Archivar,
notification_unarchive,,Unarchive,Desarchivar,
notification_delete_action,,Delete,Eliminar,
entity_search_select_items,,Select items,Seleccionar elementos,
entity_search_choose_one,,Search and choose one entity,Busca y elige una entidad,
entity_search_choose_multiple,,Search and select one or more entities,Busca y selecciona una o más entidades,
global_search_title,,Search,Buscar,
global_search_subtitle,,Find and control any Home Assistant device or entity,Busca y controla cualquier dispositivo o entidad de Home Assistant,don't translate Home Assistant
global_search_clear,,Clear search,Borrar búsqueda,
global_search_no_devices,,No matching devices.,No hay dispositivos coincidentes.,
global_search_no_entities,,No matching entities.,No hay entidades coincidentes.,
security_title,,Security,Seguridad,
security_subtitle,,Home status and activity,Estado y actividad del hogar,
security_settings,,Security settings,Ajustes de seguridad,
security_entities,,Security entities,Entidades de seguridad,
security_reimport,,Re-import,Reimportar,
security_group_doors,,Doors,Puertas,
security_group_doors_subtitle,,Door contacts,Sensores de contacto de puertas,
security_group_windows,,Windows,Ventanas,
security_group_windows_subtitle,,Window contacts,Sensores de contacto de ventanas,
security_group_openings,,Openings,Aberturas,
security_group_openings_subtitle,,Garage doors and other openings,Puertas de garaje y otras aberturas,
security_group_garage_doors,,Garage doors,Puertas de garaje,
security_group_garage_doors_subtitle,,Garage door covers,Cubiertas de puertas de garaje,
security_group_covers,,Covers,Cubiertas,
security_group_covers_subtitle,,"Blinds, shutters, and gates","Persianas, cortinas y portones",
security_group_locks,,Locks,Cerraduras,
security_group_locks_subtitle,,Door and gate locks,Cerraduras de puertas y portones,
security_group_motion,,Motion,Movimiento,
security_group_motion_subtitle,,Motion detection,Detección de movimiento,
security_group_presence,,Presence,Presencia,
security_group_presence_subtitle,,Occupancy sensors,Sensores de ocupación,
security_group_fire,,Fire and temperature,Fuego y temperatura,
security_group_fire_subtitle,,"Fire, heat, cold, and safety alarms","Alarmas de fuego, calor, frío y seguridad",
security_group_smoke,,Smoke,Humo,
security_group_smoke_subtitle,,Smoke detectors,Detectores de humo,
security_group_gas,,Gas,Gas,
security_group_gas_subtitle,,Combustible gas sensors,Sensores de gas combustible,
security_group_co2,,CO / CO₂,CO / CO₂,
security_group_co2_subtitle,,Carbon monoxide and carbon dioxide sensors,Sensores de monóxido y dióxido de carbono,
security_group_moisture,,Leaks,Fugas,
security_group_moisture_subtitle,,Moisture and water leaks,Humedad y fugas de agua,
security_group_sound,,Sound,Sonido,
security_group_sound_subtitle,,Sound and glass-break sensors,Sensores de sonido y rotura de vidrio,
security_group_light,,Light detection,Detección de luz,
security_group_light_subtitle,,Light and beam sensors,Sensores de luz y haz,
security_group_alarms,,Alarm systems,Sistemas de alarma,
security_group_alarms_subtitle,,Alarm control panels,Paneles de control de alarma,
security_group_cameras,,Cameras,Cámaras,
security_group_cameras_subtitle,,Camera feeds,Transmisiones de cámaras,
security_no_search_active,,No search active · %1$s,Sin búsqueda activa · %1$s,app fills in %1$s — keep them
security_status_alert,,Security alert,Alerta de seguridad,
security_status_alarm_pending,,Alarm pending,Alarma pendiente,
security_status_changing_alarm,,Changing alarm mode,Cambiando el modo de alarma,
security_status_needs_attention,,Needs attention,Necesita atención,
security_status_motion,,Motion detected,Movimiento detectado,
security_status_sensor_activity,,Sensor activity,Actividad de sensores,
security_status_alarm_unavailable,,Alarm unavailable,Alarma no disponible,
