key,item,english,translation,notes
language_title,,Language,ภาษา,
language_display_title,,Display language,ภาษาที่แสดง,
language_display_subtitle,,Follows your device by default; choose one to override it,ติดตามอุปกรณ์ของคุณตามค่าเริ่มต้น เลือกหนึ่งรายการเพื่อแทนที่มัน,
language_system,,System default,ค่าเริ่มต้นของระบบ,
language_selected,,Selected,เลือกแล้ว,
nav_home,,Home,บ้าน,
nav_rooms,,Rooms,ห้องพัก,
nav_security,,Security,ความปลอดภัย,
nav_energy,,Energy,พลังงาน,
nav_climate,,Climate,ภูมิอากาศ,
nav_battery,,Battery,แบตเตอรี่,
nav_settings,,Settings,การตั้งค่า,
nav_room_detail,,Room Detail,รายละเอียดห้องพัก,
settings_title_connection,,Connection,การเชื่อมต่อ,
settings_title_profile,,Profile,ประวัติโดยย่อ,
settings_title_location,,Location,ที่ตั้ง,
settings_title_notifications,,Notifications,การแจ้งเตือน,
settings_title_appearance,,Appearance,รูปร่าง,
settings_title_header,,Header,ส่วนหัว,
settings_title_theme,,Theme,ธีม,
settings_title_fonts,,Fonts,แบบอักษร,
settings_title_corners,,Corners,มุม,
settings_title_icons,,Icons,ไอคอน,
settings_title_nav_bar,,Navigation Bar,แถบนำทาง,
settings_title_media_players,,Media Players,เครื่องเล่นมีเดีย,
settings_title_dashboard,,Dashboard,แดชบอร์ด,
settings_title_family_sharing,,Family Sharing,การแบ่งปันครอบครัว,
settings_title_backup_restore,,Backup and Restore,สำรองและกู้คืน,
settings_title_account,,Account,บัญชี,
settings_title_about,,About HKI 7,เกี่ยวกับ HKI 7,don't translate HKI 7
settings_title_license,,License,ใบอนุญาต,
settings_title_support,,Support,สนับสนุน,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,ทุกสิ่งที่กำหนดประสบการณ์ HKI 7 ของคุณ,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,โปรไฟล์ของคุณและการติดตั้งแอปนี้,
settings_subtitle_profile,,Personal details used throughout your dashboard,รายละเอียดส่วนบุคคลที่ใช้ในแดชบอร์ดของคุณ,
settings_subtitle_connection,,Server routes and local-network preferences,เส้นทางเซิร์ฟเวอร์และการตั้งค่าเครือข่ายท้องถิ่น,
settings_subtitle_location,,Presence updates and background access,การอัปเดตการแสดงตนและการเข้าถึงเบื้องหลัง,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups",แดชบอร์ด แท็บ เครื่องเล่นสื่อ และป๊อปอัป,
settings_subtitle_appearance,,Make the dashboard feel like yours,ทำให้แดชบอร์ดรู้สึกเหมือนเป็นของคุณ,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets",ความกลมของปุ่ม การ์ด และวิดเจ็ต,
settings_subtitle_icons,,Icon animations and per-domain effects,ภาพเคลื่อนไหวของไอคอนและเอฟเฟกต์ต่อโดเมน,
settings_subtitle_header,,Choose whether the dashboard header is shown,เลือกว่าจะแสดงส่วนหัวของแดชบอร์ดหรือไม่,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling",สี คอนทราสต์ โหมด และการจัดรูปแบบมุม,
settings_subtitle_fonts,,"Size, weight, and typeface readability",ขนาด น้ำหนัก และความสามารถในการอ่านแบบอักษร,
settings_subtitle_nav_bar,,Choose which destinations are always within reach,เลือกจุดหมายปลายทางที่สามารถเข้าถึงได้ตลอดเวลา,
settings_subtitle_media_players,,Names and mini-player visibility,ชื่อและการเปิดเผยผู้เล่นขนาดเล็ก,
settings_subtitle_notifications,,"Push delivery, history, and service behavior",การส่งพุช ประวัติ และพฤติกรรมการบริการ,
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,ป้องกันหรือย้ายการกำหนดค่าแดชบอร์ดของคุณ,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions",การควบคุมโดยผู้ปกครอง การแชร์แดชบอร์ด และการอนุญาตของผู้รับ,
settings_subtitle_about,,"The project, technology, and people behind HKI 7",โครงการ เทคโนโลยี และบุคคลที่อยู่เบื้องหลัง HKI 7,don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,แกนชุมชนโอเพ่นซอร์สและสื่อพรีเมียมเสริม,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,วิธีที่จะช่วยให้ HKI 7 เติบโตโดยไม่ต้องซื้อ Premium,don't translate HKI 7
notification_channel_general,,General,ทั่วไป,
location_channel_name,,Location sharing,การแชร์ตำแหน่ง,
location_notification_title,,Home Assistant location,Home Assistant ตำแหน่ง,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,แบ่งปันตำแหน่งของคุณกับ Home Assistant,don't translate Home Assistant
push_connection_channel_name,,Notification connection,การเชื่อมต่อการแจ้งเตือน,
push_connection_notification_title,,Connected to Home Assistant,เชื่อมต่อกับ Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,กำลังฟังการแจ้งเตือน,
parcel_title,,Parcels,พัสดุ,
parcel_generic_carrier,,Carrier,ผู้ให้บริการ,
parcel_incoming,,Incoming,เข้ามา,
parcel_delivered,,Delivered,จัดส่งแล้ว,
parcel_outgoing,,Outgoing,ขาออก,
parcel_letters,,Letters,จดหมาย,
parcel_mail,,Mail,จดหมาย,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d ขาเข้า · %2$d ขาออก,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d ขาเข้า · %2$d ขาออก · %3$d ตัวอักษร,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d ขาเข้า · %2$d ขาออก · %3$d ตัวอักษร,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,%1$d ขาเข้า · %2$d ขาออก · %3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,ติดตามประวัติ,
parcel_tracking_history_subtitle,,Parcel journey and status updates,การเดินทางพัสดุและการอัปเดตสถานะ,
parcel_choose_carrier_account,,Choose a carrier account,เลือกบัญชีผู้ให้บริการ,
parcel_empty_tab,,No %1$s parcels.,ไม่มีพัสดุ %1$s,app fills in %1$s — keep them
parcel_no_incoming,,No incoming parcels.,ไม่มีพัสดุขาเข้า,
parcel_no_delivered,,No delivered parcels.,ไม่มีพัสดุจัดส่ง.,
parcel_no_outgoing,,No outgoing parcels.,ไม่มีพัสดุขาออก,
parcel_stage_registered,,Registered,ลงทะเบียนแล้ว,
parcel_stage_sorting,,Sorting,การเรียงลำดับ,
parcel_stage_on_the_way,,On the way,ระหว่างทาง,
parcel_unknown_status,,Unknown status,สถานะที่ไม่รู้จัก,
parcel_status_in_transit,,In transit,ระหว่างทาง,
parcel_status_out_for_delivery,,Out for delivery,ออกไปส่งของ,
parcel_status_at_pickup_point,,Ready at pickup point,พร้อมที่จุดรับ,
parcel_status_ready_to_send,,Ready to send,พร้อมส่ง,
parcel_letter_preview,,Letter preview,การแสดงตัวอย่างจดหมาย,
parcel_carriers,,Carriers,ผู้ให้บริการ,
parcel_track_new,,Track a new %1$s parcel by number,ติดตามพัสดุ %1$s ใหม่ตามหมายเลข,app fills in %1$s — keep them
parcel_choose_carrier,,Choose a carrier,เลือกผู้ให้บริการ,
parcel_settings_subtitle,,"Carrier accounts, aggregation, and appearance",บัญชีผู้ให้บริการ การรวมกลุ่ม และรูปลักษณ์,
parcel_settings_accounts,,Accounts,บัญชี,
parcel_settings_organization,,Organization,องค์กร,
parcel_settings_appearance,,Appearance,รูปร่าง,
action_remove,,Remove,ลบ,
notification_delete,,Delete notification,ลบการแจ้งเตือน,
notification_mark_all_read,,Mark all as read,ทำเครื่องหมายทั้งหมดว่าอ่านแล้ว,
notification_mark_all_unread,,Mark all as unread,ทำเครื่องหมายทั้งหมดว่ายังไม่ได้อ่าน,
notification_delete_all,,Delete all,ลบทั้งหมด,
notification_delete_all_archived,,Delete all archived,ลบที่เก็บถาวรทั้งหมด,
notification_unread,,Unread,ยังไม่ได้อ่าน,
notification_history,,History,ประวัติศาสตร์,
notification_mark_unread,,Mark as unread,ทำเครื่องหมายว่ายังไม่ได้อ่าน,
notification_mark_read,,Mark as read,ทำเครื่องหมายว่าอ่านแล้ว,
notification_archive,,Archive,คลังเก็บเอกสารสำคัญ,
notification_unarchive,,Unarchive,ยกเลิกการเก็บถาวร,
notification_delete_action,,Delete,ลบ,
entity_search_select_items,,Select items,เลือกรายการ,
entity_search_choose_one,,Search and choose one entity,ค้นหาและเลือกเอนทิตีหนึ่งรายการ,
entity_search_choose_multiple,,Search and select one or more entities,ค้นหาและเลือกเอนทิตีอย่างน้อยหนึ่งรายการ,
global_search_title,,Search,ค้นหา,
global_search_subtitle,,Find and control any Home Assistant device or entity,ค้นหาและควบคุมอุปกรณ์หรือเอนทิตี Home Assistant ใด ๆ,don't translate Home Assistant
global_search_clear,,Clear search,ล้างการค้นหา,
global_search_no_devices,,No matching devices.,ไม่มีอุปกรณ์ที่ตรงกัน,
global_search_no_entities,,No matching entities.,ไม่มีเอนทิตีที่ตรงกัน,
security_title,,Security,ความปลอดภัย,
security_subtitle,,Home status and activity,สถานะบ้านและกิจกรรม,
security_settings,,Security settings,การตั้งค่าความปลอดภัย,
security_entities,,Security entities,หน่วยงานรักษาความปลอดภัย,
security_reimport,,Re-import,นำเข้าอีกครั้ง,
security_group_doors,,Doors,ประตู,
security_group_doors_subtitle,,Door contacts,หน้าสัมผัสประตู,
security_group_windows,,Windows,หน้าต่าง,
security_group_windows_subtitle,,Window contacts,ผู้ติดต่อหน้าต่าง,
security_group_openings,,Openings,เปิด,
security_group_openings_subtitle,,Garage doors and other openings,ประตูโรงรถและช่องเปิดอื่นๆ,
security_group_garage_doors,,Garage doors,ประตูโรงรถ,
security_group_garage_doors_subtitle,,Garage door covers,ผ้าคลุมประตูโรงรถ,
security_group_covers,,Covers,ปก,
security_group_covers_subtitle,,"Blinds, shutters, and gates",มู่ลี่ บานประตูหน้าต่าง และประตู,
security_group_locks,,Locks,ล็อค,
security_group_locks_subtitle,,Door and gate locks,ล็อคประตูและประตู,
security_group_motion,,Motion,การเคลื่อนไหว,
security_group_motion_subtitle,,Motion detection,การตรวจจับความเคลื่อนไหว,
security_group_presence,,Presence,การมีอยู่,
security_group_presence_subtitle,,Occupancy sensors,เซ็นเซอร์ตรวจจับการเข้าใช้,
security_group_fire,,Fire and temperature,ไฟและอุณหภูมิ,
