key,item,english,translation,notes
language_title,,Language,Język,
language_display_title,,Display language,Język wyświetlacza,
language_display_subtitle,,Follows your device by default; choose one to override it,"Domyślnie podąża za Twoim urządzeniem; wybierz jeden, aby go zastąpić",
language_system,,System default,Domyślne systemowe,
language_selected,,Selected,Wybrany,
nav_home,,Home,Dom,
nav_rooms,,Rooms,Pokoje,
nav_security,,Security,Bezpieczeństwo,
nav_energy,,Energy,Energia,
nav_climate,,Climate,Klimat,
nav_battery,,Battery,Bateria,
nav_settings,,Settings,Ustawienia,
nav_room_detail,,Room Detail,Szczegóły pokoju,
settings_title_connection,,Connection,Połączenie,
settings_title_profile,,Profile,Profil,
settings_title_location,,Location,Lokalizacja,
settings_title_notifications,,Notifications,Powiadomienia,
settings_title_appearance,,Appearance,Wygląd,
settings_title_header,,Header,Chodnikowiec,
settings_title_theme,,Theme,Temat,
settings_title_fonts,,Fonts,Czcionki,
settings_title_corners,,Corners,Narożniki,
settings_title_icons,,Icons,Ikony,
settings_title_nav_bar,,Navigation Bar,Pasek nawigacji,
settings_title_media_players,,Media Players,Odtwarzacze multimedialne,
settings_title_dashboard,,Dashboard,Panel,
settings_title_family_sharing,,Family Sharing,Udostępnianie rodziny,
settings_title_backup_restore,,Backup and Restore,Kopia zapasowa i przywracanie,
settings_title_account,,Account,Konto,
settings_title_about,,About HKI 7,Informacje o HKI 7,don't translate HKI 7
settings_title_license,,License,Licencja,
settings_title_support,,Support,Wsparcie,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,"Wszystko, co kształtuje Twoje doświadczenie HKI 7",don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Twój profil i instalacja tej aplikacji,
settings_subtitle_profile,,Personal details used throughout your dashboard,Dane osobowe używane w całym panelu,
settings_subtitle_connection,,Server routes and local-network preferences,Trasy serwerów i preferencje sieci lokalnej,
settings_subtitle_location,,Presence updates and background access,Aktualizacje obecności i dostęp w tle,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Pulpity nawigacyjne, karty, odtwarzacze multimedialne i wyskakujące okienka",
settings_subtitle_appearance,,Make the dashboard feel like yours,"Spraw, aby pulpit nawigacyjny był jak Twój",
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Zaokrąglenie przycisków, kart i widżetów",
settings_subtitle_icons,,Icon animations and per-domain effects,Animacje ikon i efekty dla poszczególnych domen,
