key,item,english,translation,notes
language_title,,Language,Idioma,
language_display_title,,Display language,Idioma de exibição,
language_display_subtitle,,Follows your device by default; choose one to override it,Segue seu dispositivo por padrão; escolha um para substituí-lo,
language_system,,System default,Padrão do sistema,
language_selected,,Selected,Selecionado,
nav_home,,Home,Início,
nav_rooms,,Rooms,Cômodos,
nav_security,,Security,Segurança,
nav_energy,,Energy,Energia,
nav_climate,,Climate,Clima,
nav_battery,,Battery,Bateria,
nav_settings,,Settings,Configurações,
nav_room_detail,,Room Detail,Detalhe do cômodo,
settings_title_connection,,Connection,Conexão,
settings_title_profile,,Profile,Perfil,
settings_title_location,,Location,Localização,
settings_title_notifications,,Notifications,Notificações,
settings_title_appearance,,Appearance,Aparência,
settings_title_header,,Header,Cabeçalho,
settings_title_theme,,Theme,Tema,
settings_title_fonts,,Fonts,Fontes,
settings_title_corners,,Corners,Cantos,
settings_title_icons,,Icons,Ícones,
settings_title_nav_bar,,Navigation Bar,Barra de Navegação,
settings_title_media_players,,Media Players,Players de Mídia,
settings_title_dashboard,,Dashboard,Painel,
settings_title_family_sharing,,Family Sharing,Compartilhamento Familiar,
settings_title_backup_restore,,Backup and Restore,Backup e Restauração,
settings_title_account,,Account,Conta,
settings_title_about,,About HKI 7,Sobre o HKI 7,don't translate HKI 7
settings_title_license,,License,Licença,
settings_title_support,,Support,Suporte,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,Tudo que molda sua experiência com o HKI 7,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Seu perfil e esta instalação do aplicativo,
settings_subtitle_profile,,Personal details used throughout your dashboard,Dados pessoais usados em todo o seu painel,
settings_subtitle_connection,,Server routes and local-network preferences,Rotas de servidor e preferências de rede local,
settings_subtitle_location,,Presence updates and background access,Atualizações de presença e acesso em segundo plano,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Painéis, guias, reprodutores de mídia e pop-ups",
settings_subtitle_appearance,,Make the dashboard feel like yours,Faça o painel parecer seu,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Arredondamento de botões, cartões e widgets",
settings_subtitle_icons,,Icon animations and per-domain effects,Animações de ícones e efeitos por domínio,
settings_subtitle_header,,Choose whether the dashboard header is shown,Escolha se o cabeçalho do painel é exibido,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Cor, contraste, modo e estilo de cantos",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Tamanho, peso e legibilidade da fonte",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,Escolha quais destinos ficam sempre à mão,
settings_subtitle_media_players,,Names and mini-player visibility,Nomes e visibilidade do mini player,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Entrega push, histórico e comportamento do serviço",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Proteja ou transfira a configuração do seu painel,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Controle parental, compartilhamento de painel e permissões de destinatários",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","O projeto, a tecnologia e as pessoas por trás do HKI 7",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Núcleo comunitário de código aberto e materiais premium opcionais,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,Formas de ajudar o HKI 7 a crescer sem comprar o Premium,don't translate HKI 7
notification_channel_general,,General,Geral,
location_channel_name,,Location sharing,Compartilhamento de localização,
location_notification_title,,Home Assistant location,Localização do Home Assistant,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Compartilhando sua localização com o Home Assistant,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Conexão de notificação,
push_connection_notification_title,,Connected to Home Assistant,Conectado ao Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,Aguardando notificações,
parcel_title,,Parcels,Encomendas,
parcel_generic_carrier,,Carrier,Transportadora,
parcel_incoming,,Incoming,Chegando,
parcel_delivered,,Delivered,Entregue,
parcel_outgoing,,Outgoing,Enviando,
parcel_letters,,Letters,Cartas,
parcel_mail,,Mail,Correio,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d chegando · %2$d enviando,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d chegando · %2$d enviando · %3$d cartas,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d chegando · %2$d enviando · %3$d cartas,app fills in %1$d %2$d %3$d — keep them
