key,item,english,translation,notes
language_title,,Language,لغة,
language_display_title,,Display language,لغة العرض,
language_display_subtitle,,Follows your device by default; choose one to override it,يتبع جهازك بشكل افتراضي؛ اختر واحدًا لتجاوزه,
language_system,,System default,الافتراضي للنظام,
language_selected,,Selected,مختارة,
nav_home,,Home,بيت,
nav_rooms,,Rooms,الغرف,
nav_security,,Security,حماية,
nav_energy,,Energy,طاقة,
nav_climate,,Climate,مناخ,
nav_battery,,Battery,بطارية,
nav_settings,,Settings,إعدادات,
nav_room_detail,,Room Detail,تفاصيل الغرفة,
settings_title_connection,,Connection,اتصال,
settings_title_profile,,Profile,حساب تعريفي,
settings_title_location,,Location,موقع,
settings_title_notifications,,Notifications,إشعارات,
settings_title_appearance,,Appearance,مظهر,
settings_title_header,,Header,رأس,
settings_title_theme,,Theme,سمة,
settings_title_fonts,,Fonts,الخطوط,
settings_title_corners,,Corners,زوايا,
settings_title_icons,,Icons,أيقونات,
settings_title_nav_bar,,Navigation Bar,شريط التنقل,
settings_title_media_players,,Media Players,مشغلات الوسائط,
settings_title_dashboard,,Dashboard,لوحة القيادة,
settings_title_family_sharing,,Family Sharing,مشاركة العائلة,
settings_title_backup_restore,,Backup and Restore,النسخ الاحتياطي والاستعادة,
settings_title_account,,Account,حساب,
settings_title_about,,About HKI 7,حول HKI 7,don't translate HKI 7
settings_title_license,,License,رخصة,
settings_title_support,,Support,يدعم,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,كل ما يشكل تجربة HKI 7 الخاصة بك,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,ملف التعريف الخاص بك وتثبيت هذا التطبيق,
settings_subtitle_profile,,Personal details used throughout your dashboard,التفاصيل الشخصية المستخدمة في لوحة القيادة الخاصة بك,
settings_subtitle_connection,,Server routes and local-network preferences,مسارات الخادم وتفضيلات الشبكة المحلية,
settings_subtitle_location,,Presence updates and background access,تحديثات التواجد والوصول إلى الخلفية,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups",لوحات المعلومات وعلامات التبويب ومشغلات الوسائط والنوافذ المنبثقة,
settings_subtitle_appearance,,Make the dashboard feel like yours,اجعل لوحة القيادة تبدو وكأنها ملكك,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets",استدارة الأزرار والبطاقات والحاجيات,
settings_subtitle_icons,,Icon animations and per-domain effects,الرسوم المتحركة للأيقونات والتأثيرات لكل مجال,
settings_subtitle_header,,Choose whether the dashboard header is shown,اختر ما إذا كان سيتم عرض رأس لوحة المعلومات أم لا,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling",اللون والتباين والوضع وتصميم الزاوية,
settings_subtitle_fonts,,"Size, weight, and typeface readability",الحجم والوزن وسهولة قراءة المحرف,
settings_subtitle_nav_bar,,Choose which destinations are always within reach,اختر الوجهات التي تكون دائمًا في متناول يدك,
settings_subtitle_media_players,,Names and mini-player visibility,الأسماء وإمكانية رؤية اللاعب المصغر,
settings_subtitle_notifications,,"Push delivery, history, and service behavior",دفع التسليم والتاريخ وسلوك الخدمة,
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,حماية أو نقل تكوين لوحة القيادة الخاصة بك,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions",أدوات الرقابة الأبوية ومشاركة لوحة المعلومات وأذونات المستلم,
settings_subtitle_about,,"The project, technology, and people behind HKI 7",المشروع والتكنولوجيا والأشخاص الذين يقفون وراء HKI 7,don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,المجتمع الأساسي مفتوح المصدر والمواد المتميزة الاختيارية,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,طرق لمساعدة HKI 7 على النمو دون شراء Premium,don't translate HKI 7
notification_channel_general,,General,عام,
location_channel_name,,Location sharing,مشاركة الموقع,
location_notification_title,,Home Assistant location,Home Assistant الموقع,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,مشاركة موقعك مع Home Assistant,don't translate Home Assistant
push_connection_channel_name,,Notification connection,اتصال الإخطار,
push_connection_notification_title,,Connected to Home Assistant,متصل بـ Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,الاستماع للإخطارات,
parcel_title,,Parcels,الطرود,
parcel_generic_carrier,,Carrier,الناقل,
parcel_incoming,,Incoming,وارد,
parcel_delivered,,Delivered,تم التوصيل,
parcel_outgoing,,Outgoing,المنتهية ولايته,
parcel_letters,,Letters,رسائل,
parcel_mail,,Mail,بريد,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d وارد · %2$d صادر,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d وارد · %2$d صادر · %3$d رسائل,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d وارد · %2$d صادر · %3$d رسائل,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,%1$d وارد · %2$d صادر · %3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,تتبع التاريخ,
parcel_tracking_history_subtitle,,Parcel journey and status updates,رحلة الطرود وتحديثات الحالة,
parcel_choose_carrier_account,,Choose a carrier account,اختر حساب الناقل,
parcel_empty_tab,,No %1$s parcels.,لا يوجد %1$s طرود.,app fills in %1$s — keep them
parcel_no_incoming,,No incoming parcels.,لا الطرود الواردة.,
parcel_no_delivered,,No delivered parcels.,لا الطرود المسلمة.,
parcel_no_outgoing,,No outgoing parcels.,لا الطرود الصادرة.,
parcel_stage_registered,,Registered,مسجل,
parcel_stage_sorting,,Sorting,فرز,
parcel_stage_on_the_way,,On the way,على الطريق,
parcel_unknown_status,,Unknown status,حالة غير معروفة,
parcel_status_in_transit,,In transit,في مرحلة انتقالية,
parcel_status_out_for_delivery,,Out for delivery,خارج للتسليم,
parcel_status_at_pickup_point,,Ready at pickup point,جاهز عند نقطة الالتقاط,
parcel_status_ready_to_send,,Ready to send,جاهز للإرسال,
parcel_letter_preview,,Letter preview,معاينة الرسالة,
parcel_carriers,,Carriers,شركات النقل,
parcel_track_new,,Track a new %1$s parcel by number,تتبع طرد %1$s الجديد حسب الرقم,app fills in %1$s — keep them
parcel_choose_carrier,,Choose a carrier,اختر الناقل,
parcel_settings_subtitle,,"Carrier accounts, aggregation, and appearance",حسابات الناقل والتجميع والمظهر,
parcel_settings_accounts,,Accounts,الحسابات,
parcel_settings_organization,,Organization,منظمة,
parcel_settings_appearance,,Appearance,مظهر,
action_remove,,Remove,يزيل,
notification_delete,,Delete notification,حذف الإخطار,
notification_mark_all_read,,Mark all as read,وضع علامة على الكل كمقروءة,
notification_mark_all_unread,,Mark all as unread,وضع علامة على الكل كغير مقروءة,
notification_delete_all,,Delete all,احذف الكل,
notification_delete_all_archived,,Delete all archived,حذف كافة المؤرشفة,
notification_unread,,Unread,غير مقروءة,
notification_history,,History,تاريخ,
notification_mark_unread,,Mark as unread,وضع علامة كغير مقروءة,
notification_mark_read,,Mark as read,وضع علامة كمقروءة,
notification_archive,,Archive,أرشيف,
notification_unarchive,,Unarchive,إلغاء الأرشفة,
notification_delete_action,,Delete,يمسح,
entity_search_select_items,,Select items,حدد العناصر,
entity_search_choose_one,,Search and choose one entity,بحث واختيار كيان واحد,
entity_search_choose_multiple,,Search and select one or more entities,ابحث وحدد كيانًا واحدًا أو أكثر,
global_search_title,,Search,يبحث,
global_search_subtitle,,Find and control any Home Assistant device or entity,ابحث عن أي جهاز أو كيان Home Assistant والتحكم فيه,don't translate Home Assistant
global_search_clear,,Clear search,مسح البحث,
global_search_no_devices,,No matching devices.,لا توجد أجهزة مطابقة.,
global_search_no_entities,,No matching entities.,لا توجد كيانات مطابقة.,
security_title,,Security,حماية,
security_subtitle,,Home status and activity,حالة المنزل والنشاط,
security_settings,,Security settings,إعدادات الأمان,
security_entities,,Security entities,الجهات الأمنية,
security_reimport,,Re-import,إعادة الاستيراد,
security_group_doors,,Doors,أبواب,
security_group_doors_subtitle,,Door contacts,اتصالات الباب,
security_group_windows,,Windows,ويندوز,
security_group_windows_subtitle,,Window contacts,اتصالات النافذة,
security_group_openings,,Openings,الفتحات,
security_group_openings_subtitle,,Garage doors and other openings,أبواب المرآب والفتحات الأخرى,
security_group_garage_doors,,Garage doors,أبواب المرآب,
security_group_garage_doors_subtitle,,Garage door covers,أغطية أبواب المرآب,
security_group_covers,,Covers,يغطي,
security_group_covers_subtitle,,"Blinds, shutters, and gates",الستائر والمصاريع والبوابات,
security_group_locks,,Locks,أقفال,
security_group_locks_subtitle,,Door and gate locks,أقفال الأبواب والبوابات,
security_group_motion,,Motion,حركة,
security_group_motion_subtitle,,Motion detection,كشف الحركة,
security_group_presence,,Presence,حضور,
