key,item,english,translation,notes
language_title,,Language,Limbă,
language_display_title,,Display language,Limba de afișare,
language_display_subtitle,,Follows your device by default; choose one to override it,Urmează dispozitivul dvs. în mod implicit; alege unul pentru a-l suprascrie,
language_system,,System default,Implicit de sistem,
language_selected,,Selected,Selectat,
nav_home,,Home,Acasă,
nav_rooms,,Rooms,Camerele,
nav_security,,Security,Securitate,
nav_energy,,Energy,Energie,
nav_climate,,Climate,Clima,
nav_battery,,Battery,Baterie,
nav_settings,,Settings,Setări,
nav_room_detail,,Room Detail,Detaliu camera,
settings_title_connection,,Connection,Conexiune,
settings_title_profile,,Profile,Profil,
settings_title_location,,Location,Locaţie,
settings_title_notifications,,Notifications,Notificări,
settings_title_appearance,,Appearance,Aspect,
settings_title_header,,Header,Antet,
settings_title_theme,,Theme,Temă,
settings_title_fonts,,Fonts,Fonturi,
settings_title_corners,,Corners,Colțuri,
settings_title_icons,,Icons,Pictograme,
settings_title_nav_bar,,Navigation Bar,Bara de navigare,
settings_title_media_players,,Media Players,Playere media,
settings_title_dashboard,,Dashboard,Bord,
settings_title_family_sharing,,Family Sharing,Împărtășirea în familie,
settings_title_backup_restore,,Backup and Restore,Backup și restaurare,
settings_title_account,,Account,Cont,
settings_title_about,,About HKI 7,Despre HKI 7,don't translate HKI 7
settings_title_license,,License,Licenţă,
settings_title_support,,Support,Sprijin,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,Tot ceea ce vă modelează experiența HKI 7,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Profilul dvs. și instalarea acestei aplicații,
settings_subtitle_profile,,Personal details used throughout your dashboard,Detaliile personale utilizate în tabloul de bord,
settings_subtitle_connection,,Server routes and local-network preferences,Rutele serverului și preferințele rețelei locale,
settings_subtitle_location,,Presence updates and background access,Prezența actualizărilor și accesul în fundal,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Tablouri de bord, file, playere media și ferestre pop-up",
settings_subtitle_appearance,,Make the dashboard feel like yours,Faceți tabloul de bord să pară ca al dvs,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Rotunzimea butoanelor, cardurilor și widget-urilor",
settings_subtitle_icons,,Icon animations and per-domain effects,Animații cu pictograme și efecte pe domeniu,
settings_subtitle_header,,Choose whether the dashboard header is shown,Alegeți dacă este afișat antetul tabloului de bord,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Culoare, contrast, mod și stil de colț",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Dimensiunea, greutatea și lizibilitatea fontului",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,Alegeți destinațiile care sunt întotdeauna la îndemână,
settings_subtitle_media_players,,Names and mini-player visibility,Nume și vizibilitate pentru mini-player,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Push livrarea, istoricul și comportamentul serviciilor",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Protejați sau mutați configurația tabloului de bord,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Control parental, partajarea tabloului de bord și permisiunile destinatarului",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","Proiectul, tehnologia și oamenii din spatele HKI 7",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Nucleul comunității open-source și materiale premium opționale,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,Modalități de a ajuta HKI 7 să crească fără a cumpăra Premium,don't translate HKI 7
notification_channel_general,,General,General,
location_channel_name,,Location sharing,Partajarea locației,
location_notification_title,,Home Assistant location,Home Assistant locație,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Afișarea locației dvs. cu Home Assistant,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Conexiune de notificare,
push_connection_notification_title,,Connected to Home Assistant,Conectat la Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,Ascultarea notificărilor,
parcel_title,,Parcels,Colete,
parcel_generic_carrier,,Carrier,Purtător,
parcel_incoming,,Incoming,Sosire,
parcel_delivered,,Delivered,Livrat,
parcel_outgoing,,Outgoing,Ieșire,
parcel_letters,,Letters,Scrisori,
parcel_mail,,Mail,Mail,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d de intrare · %2$d de ieșire,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d primit · %2$d trimis · %3$d litere,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d primit · %2$d trimis · %3$d litere,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,%1$d de intrare · %2$d de ieșire · %3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,Istoricul de urmărire,
parcel_tracking_history_subtitle,,Parcel journey and status updates,Călătoria coletului și actualizări de stare,
parcel_choose_carrier_account,,Choose a carrier account,Alegeți un cont de operator,
parcel_empty_tab,,No %1$s parcels.,Nu există pachete %1$s.,app fills in %1$s — keep them
parcel_no_incoming,,No incoming parcels.,Fără colete primite.,
parcel_no_delivered,,No delivered parcels.,Niciun pachet livrat.,
parcel_no_outgoing,,No outgoing parcels.,Fără pachete de ieșire.,
parcel_stage_registered,,Registered,Înregistrat,
parcel_stage_sorting,,Sorting,Triere,
parcel_stage_on_the_way,,On the way,Pe drum,
parcel_unknown_status,,Unknown status,Stare necunoscută,
parcel_status_in_transit,,In transit,În tranzit,
parcel_status_out_for_delivery,,Out for delivery,Ieșit la livrare,
parcel_status_at_pickup_point,,Ready at pickup point,Gata la punctul de preluare,
parcel_status_ready_to_send,,Ready to send,Gata de trimis,
parcel_letter_preview,,Letter preview,Previzualizarea scrisorii,
parcel_carriers,,Carriers,Transportatorii,
parcel_track_new,,Track a new %1$s parcel by number,Urmăriți un nou pachet %1$s după număr,app fills in %1$s — keep them
parcel_choose_carrier,,Choose a carrier,Alegeți un transportator,
parcel_settings_subtitle,,"Carrier accounts, aggregation, and appearance","Conturi de operator, agregare și aspect",
parcel_settings_accounts,,Accounts,Conturi,
parcel_settings_organization,,Organization,Organizare,
parcel_settings_appearance,,Appearance,Aspect,
action_remove,,Remove,Elimina,
notification_delete,,Delete notification,Ștergeți notificarea,
notification_mark_all_read,,Mark all as read,Marcați totul ca citit,
notification_mark_all_unread,,Mark all as unread,Marcați totul ca necitit,
notification_delete_all,,Delete all,Ștergeți tot,
notification_delete_all_archived,,Delete all archived,Ștergeți toate arhivatele,
notification_unread,,Unread,Necitit,
notification_history,,History,Istorie,
notification_mark_unread,,Mark as unread,Marcați ca necitit,
notification_mark_read,,Mark as read,Marcați ca citit,
notification_archive,,Archive,Arhivă,
notification_unarchive,,Unarchive,Dezarhivați,
notification_delete_action,,Delete,Şterge,
entity_search_select_items,,Select items,Selectați articole,
entity_search_choose_one,,Search and choose one entity,Căutați și alegeți o entitate,
entity_search_choose_multiple,,Search and select one or more entities,Căutați și selectați una sau mai multe entități,
global_search_title,,Search,Căutare,
global_search_subtitle,,Find and control any Home Assistant device or entity,Găsiți și controlați orice dispozitiv sau entitate Home Assistant,don't translate Home Assistant
global_search_clear,,Clear search,Ștergeți căutarea,
global_search_no_devices,,No matching devices.,Nu există dispozitive potrivite.,
global_search_no_entities,,No matching entities.,Nu există entități care se potrivesc.,
security_title,,Security,Securitate,
security_subtitle,,Home status and activity,Starea domiciliului și activitatea,
security_settings,,Security settings,Setări de securitate,
security_entities,,Security entities,Entități de securitate,
security_reimport,,Re-import,Reimporta,
security_group_doors,,Doors,Ușile,
security_group_doors_subtitle,,Door contacts,Contacte uși,
security_group_windows,,Windows,Windows,
security_group_windows_subtitle,,Window contacts,Contacte ferestre,
security_group_openings,,Openings,Deschideri,
security_group_openings_subtitle,,Garage doors and other openings,Usi de garaj si alte deschideri,
security_group_garage_doors,,Garage doors,Usi de garaj,
