key,item,english,translation,notes
language_title,,Language,Lingua,
language_display_title,,Display language,Lingua di visualizzazione,
language_display_subtitle,,Follows your device by default; choose one to override it,Segue il tuo dispositivo per impostazione predefinita; sceglierne uno per sovrascriverlo,
language_system,,System default,Predefinito del sistema,
language_selected,,Selected,Selezionato,
nav_home,,Home,Casa,
nav_rooms,,Rooms,Camere,
nav_security,,Security,Sicurezza,
nav_energy,,Energy,Energia,
nav_climate,,Climate,Clima,
nav_battery,,Battery,Batteria,
nav_settings,,Settings,Impostazioni,
nav_room_detail,,Room Detail,Particolare della stanza,
settings_title_connection,,Connection,Connessione,
settings_title_profile,,Profile,Profilo,
settings_title_location,,Location,Posizione,
settings_title_notifications,,Notifications,Notifiche,
settings_title_appearance,,Appearance,Aspetto,
settings_title_header,,Header,Intestazione,
settings_title_theme,,Theme,Tema,
settings_title_fonts,,Fonts,Caratteri,
settings_title_corners,,Corners,Angoli,
settings_title_icons,,Icons,Icone,
settings_title_nav_bar,,Navigation Bar,Barra di navigazione,
settings_title_media_players,,Media Players,Lettori multimediali,
settings_title_dashboard,,Dashboard,Pannello di controllo,
settings_title_family_sharing,,Family Sharing,Condivisione in famiglia,
settings_title_backup_restore,,Backup and Restore,Backup e ripristino,
settings_title_account,,Account,Account,
settings_title_about,,About HKI 7,Informazioni sull'HKI 7,don't translate HKI 7
settings_title_license,,License,Licenza,
settings_title_support,,Support,Supporto,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,Tutto ciò che dà forma alla tua esperienza HKI 7,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Il tuo profilo e l'installazione di questa app,
settings_subtitle_profile,,Personal details used throughout your dashboard,Dettagli personali utilizzati nella dashboard,
settings_subtitle_connection,,Server routes and local-network preferences,Percorsi del server e preferenze della rete locale,
settings_subtitle_location,,Presence updates and background access,Aggiornamenti sulla presenza e accesso in background,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Dashboard, schede, lettori multimediali e popup",
settings_subtitle_appearance,,Make the dashboard feel like yours,Rendi la dashboard come la tua,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Rotondità di pulsanti, schede e widget",
settings_subtitle_icons,,Icon animations and per-domain effects,Animazioni delle icone ed effetti per dominio,
settings_subtitle_header,,Choose whether the dashboard header is shown,Scegli se visualizzare l'intestazione della dashboard,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Colore, contrasto, modalità e stile degli angoli",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Dimensioni, peso e leggibilità dei caratteri",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,Scegli quali destinazioni sono sempre a portata di mano,
settings_subtitle_media_players,,Names and mini-player visibility,Nomi e visibilità del mini-player,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Consegna push, cronologia e comportamento del servizio",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Proteggi o sposta la configurazione della dashboard,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Controllo genitori, condivisione della dashboard e autorizzazioni dei destinatari",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","Il progetto, la tecnologia e le persone dietro HKI 7",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Nucleo della community open source e materiali premium opzionali,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,Modi per aiutare HKI 7 a crescere senza acquistare Premium,don't translate HKI 7
notification_channel_general,,General,Generale,
location_channel_name,,Location sharing,Condivisione della posizione,
location_notification_title,,Home Assistant location,Posizione Home Assistant,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Condivisione della posizione con Home Assistant,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Connessione notifiche,
push_connection_notification_title,,Connected to Home Assistant,Connesso a Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,In attesa di notifiche,
parcel_title,,Parcels,Pacchi,
parcel_generic_carrier,,Carrier,Corriere,
parcel_incoming,,Incoming,In arrivo,
parcel_delivered,,Delivered,Consegnati,
parcel_outgoing,,Outgoing,In uscita,
parcel_letters,,Letters,Lettere,
parcel_mail,,Mail,Posta,
