key,item,english,translation,notes
language_title,,Language,言語,
language_display_title,,Display language,表示言語,
language_display_subtitle,,Follows your device by default; choose one to override it,既定ではデバイスの設定に従います。上書きする場合は選択してください,
language_system,,System default,システムのデフォルト,
language_selected,,Selected,選択済み,
nav_home,,Home,ホーム,
nav_rooms,,Rooms,部屋,
nav_security,,Security,セキュリティ,
nav_energy,,Energy,エネルギー,
nav_climate,,Climate,空調,
nav_battery,,Battery,バッテリー,
nav_settings,,Settings,設定,
nav_room_detail,,Room Detail,部屋の詳細,
settings_title_connection,,Connection,接続,
settings_title_profile,,Profile,プロフィール,
settings_title_location,,Location,位置情報,
settings_title_notifications,,Notifications,通知,
settings_title_appearance,,Appearance,外観,
settings_title_header,,Header,ヘッダー,
settings_title_theme,,Theme,テーマ,
settings_title_fonts,,Fonts,フォント,
settings_title_corners,,Corners,角丸,
settings_title_icons,,Icons,アイコン,
settings_title_nav_bar,,Navigation Bar,ナビゲーションバー,
settings_title_media_players,,Media Players,メディアプレーヤー,
settings_title_dashboard,,Dashboard,ダッシュボード,
settings_title_family_sharing,,Family Sharing,ファミリー共有,
settings_title_backup_restore,,Backup and Restore,バックアップと復元,
settings_title_account,,Account,アカウント,
settings_title_about,,About HKI 7,HKI 7について,don't translate HKI 7
settings_title_license,,License,ライセンス,
settings_title_support,,Support,サポート,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,HKI 7の体験を形作るすべての設定,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,プロフィールとこのアプリのインストール情報,
settings_subtitle_profile,,Personal details used throughout your dashboard,ダッシュボード全体で使用される個人情報,
settings_subtitle_connection,,Server routes and local-network preferences,サーバー経路とローカルネットワークの設定,
settings_subtitle_location,,Presence updates and background access,在室状況の更新とバックグラウンドアクセス,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups",ダッシュボード、タブ、メディアプレーヤー、ポップアップ,
settings_subtitle_appearance,,Make the dashboard feel like yours,ダッシュボードを自分らしく,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets",ボタン、カード、ウィジェットの角丸,
settings_subtitle_icons,,Icon animations and per-domain effects,アイコンアニメーションとドメインごとの効果,
settings_subtitle_header,,Choose whether the dashboard header is shown,ダッシュボードヘッダーの表示有無を選択,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling",色、コントラスト、モード、角のスタイル,
settings_subtitle_fonts,,"Size, weight, and typeface readability",サイズ、太さ、書体の読みやすさ,
settings_subtitle_nav_bar,,Choose which destinations are always within reach,常に表示する移動先を選択,
settings_subtitle_media_players,,Names and mini-player visibility,名前とミニプレーヤーの表示,
