key,item,english,translation,notes
language_title,,Language,語言,
language_display_title,,Display language,顯示語言,
language_display_subtitle,,Follows your device by default; choose one to override it,預設跟隨裝置語言；選擇一項可覆寫此設定,
language_system,,System default,系統預設,
language_selected,,Selected,已選取,
nav_home,,Home,首頁,
nav_rooms,,Rooms,房間,
nav_security,,Security,安全,
nav_energy,,Energy,能源,
nav_climate,,Climate,空調,
nav_battery,,Battery,電池,
nav_settings,,Settings,設定,
nav_room_detail,,Room Detail,房間詳細資料,
settings_title_connection,,Connection,連線,
settings_title_profile,,Profile,個人資料,
settings_title_location,,Location,位置,
settings_title_notifications,,Notifications,通知,
settings_title_appearance,,Appearance,外觀,
settings_title_header,,Header,標題列,
settings_title_theme,,Theme,主題,
settings_title_fonts,,Fonts,字型,
settings_title_corners,,Corners,圓角,
settings_title_icons,,Icons,圖示,
settings_title_nav_bar,,Navigation Bar,導覽列,
settings_title_media_players,,Media Players,媒體播放器,
settings_title_dashboard,,Dashboard,儀表板,
settings_title_family_sharing,,Family Sharing,家庭共享,
settings_title_backup_restore,,Backup and Restore,備份與還原,
settings_title_account,,Account,帳號,
settings_title_about,,About HKI 7,關於 HKI 7,don't translate HKI 7
settings_title_license,,License,授權條款,
settings_title_support,,Support,支持我們,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,所有形塑您 HKI 7 體驗的設定,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,您的個人資料與此應用程式安裝,
settings_subtitle_profile,,Personal details used throughout your dashboard,貫穿您整個儀表板的個人資訊,
settings_subtitle_connection,,Server routes and local-network preferences,伺服器路由與本機網路偏好設定,
settings_subtitle_location,,Presence updates and background access,在家狀態更新與背景存取權限,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups",儀表板、選項卡、媒體播放器和彈出窗口,
settings_subtitle_appearance,,Make the dashboard feel like yours,讓儀表板呈現出您的風格,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets",按鈕、卡片與小工具的圓角程度,
settings_subtitle_icons,,Icon animations and per-domain effects,圖示動畫與各領域效果,
settings_subtitle_header,,Choose whether the dashboard header is shown,選擇是否顯示儀表板標題列,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling",顏色、對比、模式與圓角樣式,
settings_subtitle_fonts,,"Size, weight, and typeface readability",字型大小、粗細與易讀性,
settings_subtitle_nav_bar,,Choose which destinations are always within reach,選擇隨時可存取的導覽目的地,
settings_subtitle_media_players,,Names and mini-player visibility,名稱與迷你播放器顯示狀態,
settings_subtitle_notifications,,"Push delivery, history, and service behavior",推播傳送、歷史紀錄與服務行為,
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,保護或轉移您的儀表板設定,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions",家長監護、儀表板分享與接收者權限,
settings_subtitle_about,,"The project, technology, and people behind HKI 7",HKI 7 背後的專案、技術與團隊,don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,開源社群核心與選用的進階素材,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,不需購買進階版也能協助 HKI 7 成長的方式,don't translate HKI 7
notification_channel_general,,General,一般,
location_channel_name,,Location sharing,位置分享,
location_notification_title,,Home Assistant location,Home Assistant 位置,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,正在與 Home Assistant 分享您的位置,don't translate Home Assistant
push_connection_channel_name,,Notification connection,通知連線,
push_connection_notification_title,,Connected to Home Assistant,已連線至 Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,正在接收通知,
parcel_title,,Parcels,包裹,
parcel_generic_carrier,,Carrier,物流業者,
parcel_incoming,,Incoming,寄送中,
parcel_delivered,,Delivered,已送達,
parcel_outgoing,,Outgoing,寄出,
parcel_letters,,Letters,信件,
parcel_mail,,Mail,郵件,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d 件寄送中・%2$d 件寄出,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d 件寄送中・%2$d 件寄出・%3$d 封信件,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d 件寄送中・%2$d 件寄出・%3$d 封信件,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,%1$d 件寄送中・%2$d 件寄出・%3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,追蹤紀錄,
parcel_tracking_history_subtitle,,Parcel journey and status updates,包裹運送過程與狀態更新,
parcel_choose_carrier_account,,Choose a carrier account,選擇物流業者帳號,
parcel_empty_tab,,No %1$s parcels.,沒有%1$s包裹。,app fills in %1$s — keep them
parcel_no_incoming,,No incoming parcels.,沒有寄送中的包裹。,
parcel_no_delivered,,No delivered parcels.,沒有已送達的包裹。,
parcel_no_outgoing,,No outgoing parcels.,沒有寄出的包裹。,
parcel_stage_registered,,Registered,已登錄,
parcel_stage_sorting,,Sorting,分揀中,
parcel_stage_on_the_way,,On the way,運送中,
parcel_unknown_status,,Unknown status,未知狀態,
parcel_status_in_transit,,In transit,運送中,
parcel_status_out_for_delivery,,Out for delivery,配送中,
parcel_status_at_pickup_point,,Ready at pickup point,已到達取件點,
parcel_status_ready_to_send,,Ready to send,待寄出,
parcel_letter_preview,,Letter preview,信件預覽,
parcel_carriers,,Carriers,物流業者,
parcel_track_new,,Track a new %1$s parcel by number,依號碼追蹤新的%1$s包裹,app fills in %1$s — keep them
parcel_choose_carrier,,Choose a carrier,選擇物流業者,
parcel_settings_subtitle,,"Carrier accounts, aggregation, and appearance",物流業者帳號、彙整方式與外觀,
parcel_settings_accounts,,Accounts,帳號,
parcel_settings_organization,,Organization,整理方式,
parcel_settings_appearance,,Appearance,外觀,
action_remove,,Remove,移除,
notification_delete,,Delete notification,刪除通知,
notification_mark_all_read,,Mark all as read,全部標示為已讀,
notification_mark_all_unread,,Mark all as unread,全部標示為未讀,
notification_delete_all,,Delete all,全部刪除,
notification_delete_all_archived,,Delete all archived,刪除所有已封存項目,
notification_unread,,Unread,未讀,
notification_history,,History,歷史紀錄,
notification_mark_unread,,Mark as unread,標示為未讀,
notification_mark_read,,Mark as read,標示為已讀,
notification_archive,,Archive,封存,
notification_unarchive,,Unarchive,取消封存,
notification_delete_action,,Delete,刪除,
entity_search_select_items,,Select items,選取項目,
entity_search_choose_one,,Search and choose one entity,搜尋並選擇一個實體,
entity_search_choose_multiple,,Search and select one or more entities,搜尋並選取一或多個實體,
global_search_title,,Search,搜尋,
global_search_subtitle,,Find and control any Home Assistant device or entity,尋找並控制任何 Home Assistant 裝置或實體,don't translate Home Assistant
global_search_clear,,Clear search,清除搜尋,
global_search_no_devices,,No matching devices.,沒有符合的裝置。,
global_search_no_entities,,No matching entities.,沒有符合的實體。,
security_title,,Security,安全,
security_subtitle,,Home status and activity,居家狀態與活動,
security_settings,,Security settings,安全設定,
security_entities,,Security entities,安全實體,
security_reimport,,Re-import,重新匯入,
security_group_doors,,Doors,門,
security_group_doors_subtitle,,Door contacts,門感測器,
security_group_windows,,Windows,窗戶,
security_group_windows_subtitle,,Window contacts,窗戶感測器,
security_group_openings,,Openings,開口,
security_group_openings_subtitle,,Garage doors and other openings,車庫門與其他開口,
security_group_garage_doors,,Garage doors,車庫門,
security_group_garage_doors_subtitle,,Garage door covers,車庫門遮罩,
security_group_covers,,Covers,遮罩,
security_group_covers_subtitle,,"Blinds, shutters, and gates",窗簾、百葉窗與閘門,
security_group_locks,,Locks,門鎖,
security_group_locks_subtitle,,Door and gate locks,門與閘門鎖,
security_group_motion,,Motion,動作,
security_group_motion_subtitle,,Motion detection,動作偵測,
security_group_presence,,Presence,在家狀態,
security_group_presence_subtitle,,Occupancy sensors,存在感測器,
security_group_fire,,Fire and temperature,火警與溫度,
security_group_fire_subtitle,,"Fire, heat, cold, and safety alarms",火警、高溫、低溫與安全警報,
security_group_smoke,,Smoke,煙霧,
security_group_smoke_subtitle,,Smoke detectors,煙霧偵測器,
security_group_gas,,Gas,瓦斯,
security_group_gas_subtitle,,Combustible gas sensors,可燃氣體感測器,
security_group_co2,,CO / CO₂,CO／CO₂,
security_group_co2_subtitle,,Carbon monoxide and carbon dioxide sensors,一氧化碳與二氧化碳感測器,
security_group_moisture,,Leaks,滲漏,
security_group_moisture_subtitle,,Moisture and water leaks,潮濕與漏水感測器,
security_group_sound,,Sound,聲音,
security_group_sound_subtitle,,Sound and glass-break sensors,聲音與玻璃破碎感測器,
security_group_light,,Light detection,光線偵測,
security_group_light_subtitle,,Light and beam sensors,光線與光束感測器,
security_group_alarms,,Alarm systems,警報系統,
security_group_alarms_subtitle,,Alarm control panels,警報控制面板,
security_group_cameras,,Cameras,攝影機,
security_group_cameras_subtitle,,Camera feeds,攝影機畫面,
