key,item,english,translation,notes
language_title,,Language,Valoda,
language_display_title,,Display language,Displeja valoda,
language_display_subtitle,,Follows your device by default; choose one to override it,"Pēc noklusējuma seko jūsu ierīcei; izvēlieties vienu, lai to ignorētu",
language_system,,System default,Sistēmas noklusējums,
language_selected,,Selected,Atlasīts,
nav_home,,Home,Sākums,
nav_rooms,,Rooms,Istabas,
nav_security,,Security,Drošība,
nav_energy,,Energy,Enerģija,
nav_climate,,Climate,Klimats,
nav_battery,,Battery,Akumulators,
nav_settings,,Settings,Iestatījumi,
nav_room_detail,,Room Detail,Telpas detaļas,
settings_title_connection,,Connection,Savienojums,
settings_title_profile,,Profile,Profils,
settings_title_location,,Location,Atrašanās vieta,
settings_title_notifications,,Notifications,Paziņojumi,
settings_title_appearance,,Appearance,Izskats,
settings_title_header,,Header,Virsraksts,
settings_title_theme,,Theme,Tēma,
settings_title_fonts,,Fonts,Fonti,
settings_title_corners,,Corners,Stūri,
settings_title_icons,,Icons,Ikonas,
settings_title_nav_bar,,Navigation Bar,Navigācijas josla,
settings_title_media_players,,Media Players,Multivides atskaņotāji,
settings_title_dashboard,,Dashboard,Informācijas panelis,
settings_title_family_sharing,,Family Sharing,Ģimenes koplietošana,
settings_title_backup_restore,,Backup and Restore,Dublēšana un atjaunošana,
settings_title_account,,Account,Konts,
settings_title_about,,About HKI 7,Aptuveni HKI 7,don't translate HKI 7
settings_title_license,,License,Licence,
settings_title_support,,Support,Atbalsts,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,"Viss, kas veido jūsu HKI 7 pieredzi",don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Jūsu profils un šī lietotnes instalēšana,
settings_subtitle_profile,,Personal details used throughout your dashboard,"Personiskā informācija, kas tiek izmantota visā informācijas panelī",
settings_subtitle_connection,,Server routes and local-network preferences,Servera maršruti un lokālā tīkla preferences,
settings_subtitle_location,,Presence updates and background access,Klātbūtnes atjauninājumi un piekļuve fonam,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Informācijas paneļi, cilnes, multivides atskaņotāji un uznirstošie logi",
settings_subtitle_appearance,,Make the dashboard feel like yours,Ļaujiet informācijas panelim justies kā savējam,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Pogu, kartīšu un logrīku apaļums",
settings_subtitle_icons,,Icon animations and per-domain effects,Ikonu animācijas un efekti katram domēnam,
settings_subtitle_header,,Choose whether the dashboard header is shown,"Izvēlieties, vai tiek rādīta informācijas paneļa galvene",
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Krāsa, kontrasts, režīms un stūra stils",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Lielums, svars un burtu lasāmība",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,"Izvēlieties, kuri galamērķi vienmēr ir sasniedzami",
settings_subtitle_media_players,,Names and mini-player visibility,Vārdi un mini spēlētāja redzamība,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Push piegāde, vēsture un pakalpojumu darbība",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Aizsargājiet vai pārvietojiet informācijas paneļa konfigurāciju,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Vecāku kontrole, informācijas paneļa kopīgošana un adresātu atļaujas",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","Projekts, tehnoloģija un cilvēki aiz HKI 7",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Atvērtā pirmkoda kopienas kodols un papildu augstākās kvalitātes materiāli,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,"Veidi, kā palīdzēt HKI 7 augt, nepērkot Premium",don't translate HKI 7
notification_channel_general,,General,Ģenerālis,
location_channel_name,,Location sharing,Atrašanās vietas kopīgošana,
location_notification_title,,Home Assistant location,Home Assistant atrašanās vieta,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Jūsu atrašanās vietas kopīgošana ar Home Assistant,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Paziņojumu savienojums,
push_connection_notification_title,,Connected to Home Assistant,Savienots ar Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,Paziņojumu uzklausīšana,
parcel_title,,Parcels,Pakas,
parcel_generic_carrier,,Carrier,Pārvadātājs,
parcel_incoming,,Incoming,Ienākošie,
parcel_delivered,,Delivered,Piegādāts,
parcel_outgoing,,Outgoing,Izejošais,
parcel_letters,,Letters,Vēstules,
parcel_mail,,Mail,Pasts,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d ienākošais · %2$d izejošais,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d ienākošais · %2$d izejošais · %3$d burti,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d ienākošais · %2$d izejošais · %3$d burti,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,%1$d ienākošais · %2$d izejošais · %3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,Izsekošanas vēsture,
parcel_tracking_history_subtitle,,Parcel journey and status updates,Pakas ceļojums un statusa atjauninājumi,
parcel_choose_carrier_account,,Choose a carrier account,Izvēlieties mobilo sakaru operatora kontu,
parcel_empty_tab,,No %1$s parcels.,Nav %1$s paku.,app fills in %1$s — keep them
parcel_no_incoming,,No incoming parcels.,Nav ienākošu paku.,
parcel_no_delivered,,No delivered parcels.,Nav piegādātu paku.,
parcel_no_outgoing,,No outgoing parcels.,Nav izejošo paku.,
parcel_stage_registered,,Registered,Reģistrēts,
parcel_stage_sorting,,Sorting,Šķirošana,
parcel_stage_on_the_way,,On the way,Pa ceļam,
parcel_unknown_status,,Unknown status,Nezināms statuss,
parcel_status_in_transit,,In transit,Tranzītā,
parcel_status_out_for_delivery,,Out for delivery,Iziet piegādei,
parcel_status_at_pickup_point,,Ready at pickup point,Gatavs saņemšanas punktā,
parcel_status_ready_to_send,,Ready to send,Gatavs sūtīšanai,
parcel_letter_preview,,Letter preview,Vēstules priekšskatījums,
parcel_carriers,,Carriers,Pārvadātāji,
parcel_track_new,,Track a new %1$s parcel by number,Izsekojiet jaunu %1$s paku pēc numura,app fills in %1$s — keep them
parcel_choose_carrier,,Choose a carrier,Izvēlieties mobilo sakaru operatoru,
parcel_settings_subtitle,,"Carrier accounts, aggregation, and appearance","Pārvadātāju konti, apkopošana un izskats",
parcel_settings_accounts,,Accounts,Konti,
parcel_settings_organization,,Organization,Organizācija,
parcel_settings_appearance,,Appearance,Izskats,
action_remove,,Remove,Noņemt,
notification_delete,,Delete notification,Dzēst paziņojumu,
notification_mark_all_read,,Mark all as read,Atzīmēt visu kā izlasītu,
notification_mark_all_unread,,Mark all as unread,Atzīmēt visu kā nelasītu,
notification_delete_all,,Delete all,Dzēst visu,
notification_delete_all_archived,,Delete all archived,Dzēst visu arhivēto,
notification_unread,,Unread,Nelasīts,
notification_history,,History,Vēsture,
notification_mark_unread,,Mark as unread,Atzīmēt kā nelasītu,
notification_mark_read,,Mark as read,Atzīmēt kā izlasītu,
notification_archive,,Archive,Arhīvs,
notification_unarchive,,Unarchive,Atarhivēt,
notification_delete_action,,Delete,Dzēst,
entity_search_select_items,,Select items,Atlasiet vienumus,
entity_search_choose_one,,Search and choose one entity,Meklējiet un izvēlieties vienu entītiju,
entity_search_choose_multiple,,Search and select one or more entities,Meklējiet un atlasiet vienu vai vairākas entītijas,
global_search_title,,Search,Meklēt,
global_search_subtitle,,Find and control any Home Assistant device or entity,Atrodiet un kontrolējiet jebkuru Home Assistant ierīci vai entītiju,don't translate Home Assistant
global_search_clear,,Clear search,Notīrīt meklēšanu,
global_search_no_devices,,No matching devices.,Nav atbilstošu ierīču.,
global_search_no_entities,,No matching entities.,Nav atbilstošu entītiju.,
security_title,,Security,Drošība,
security_subtitle,,Home status and activity,Mājas statuss un darbība,
security_settings,,Security settings,Drošības iestatījumi,
security_entities,,Security entities,Drošības vienības,
security_reimport,,Re-import,Atkārtoti importēt,
security_group_doors,,Doors,Durvis,
security_group_doors_subtitle,,Door contacts,Durvju kontakti,
security_group_windows,,Windows,Windows,
security_group_windows_subtitle,,Window contacts,Logu kontakti,
security_group_openings,,Openings,Atvērumi,
security_group_openings_subtitle,,Garage doors and other openings,Garāžu durvis un citas atveres,
security_group_garage_doors,,Garage doors,Garāžas durvis,
security_group_garage_doors_subtitle,,Garage door covers,Garāžas durvju pārsegi,
security_group_covers,,Covers,Vāki,
security_group_covers_subtitle,,"Blinds, shutters, and gates","Žalūzijas, žalūzijas un vārti",
security_group_locks,,Locks,Slēdzenes,
security_group_locks_subtitle,,Door and gate locks,Durvju un vārtu slēdzenes,
security_group_motion,,Motion,Kustība,
security_group_motion_subtitle,,Motion detection,Kustības noteikšana,
security_group_presence,,Presence,Klātbūtne,
security_group_presence_subtitle,,Occupancy sensors,Noslogotības sensori,
security_group_fire,,Fire and temperature,Uguns un temperatūra,
security_group_fire_subtitle,,"Fire, heat, cold, and safety alarms","Uguns, karstuma, aukstuma un drošības signalizācija",
security_group_smoke,,Smoke,Smēķēt,
security_group_smoke_subtitle,,Smoke detectors,Dūmu detektori,
security_group_gas,,Gas,Gāze,
security_group_gas_subtitle,,Combustible gas sensors,Deggāzes sensori,
security_group_co2,,CO / CO₂,CO / CO₂,
security_group_co2_subtitle,,Carbon monoxide and carbon dioxide sensors,Oglekļa monoksīda un oglekļa dioksīda sensori,
security_group_moisture,,Leaks,Noplūdes,
security_group_moisture_subtitle,,Moisture and water leaks,Mitruma un ūdens noplūde,
security_group_sound,,Sound,Skaņa,
security_group_sound_subtitle,,Sound and glass-break sensors,Skaņas un stikla plīšanas sensori,
security_group_light,,Light detection,Gaismas noteikšana,
security_group_light_subtitle,,Light and beam sensors,Gaismas un staru sensori,
security_group_alarms,,Alarm systems,Signalizācijas sistēmas,
security_group_alarms_subtitle,,Alarm control panels,Signalizācijas vadības paneļi,
security_group_cameras,,Cameras,Kameras,
security_group_cameras_subtitle,,Camera feeds,Kameras plūsmas,
security_no_search_active,,No search active · %1$s,Meklēšana nav aktīva · %1$s,app fills in %1$s — keep them
security_status_alert,,Security alert,Drošības brīdinājums,
security_status_alarm_pending,,Alarm pending,Gaidāma trauksme,
security_status_changing_alarm,,Changing alarm mode,Modinātāja režīma maiņa,
security_status_needs_attention,,Needs attention,Nepieciešama uzmanība,
security_status_motion,,Motion detected,Noteikta kustība,
security_status_sensor_activity,,Sensor activity,Sensoru darbība,
security_status_alarm_unavailable,,Alarm unavailable,Signalizācija nav pieejama,
security_status_devices_unavailable,,Devices unavailable,Ierīces nav pieejamas,
security_status_cameras_offline,,Cameras offline,Kameras bezsaistē,
security_status_all_secure,,All secure,Viss droši,
security_status_alarm_disarmed,,Alarm disarmed,Signalizācija ir atbruņota,
security_status_all_clear,,All clear,Viss skaidrs,
security_status_no_data,,No security data,Nav drošības datu,
security_metric_openings,,Openings,Atvērumi,
security_metric_locked,,Locked,Bloķēts,
security_metric_cameras_online,,Cameras online,Kameras tiešsaistē,
security_card_title,,Security card,Drošības karte,
security_card_subtitle,,"Name, layout, and card appearance","Nosaukums, izkārtojums un kartes izskats",
security_stat_total,,Total,Kopā,
security_stat_active,,Active,Aktīvs,
security_stat_clear,,Clear,Skaidrs,
security_cover_open,,Open,Atvērt,
security_cover_stop,,Stop,Stop,
security_cover_close,,Close,Aizvērt,
security_restore,,Restore,Atjaunot,
security_empty,,This is an empty security view. Swipe down on the header and open Security settings to add entities manually.,"Šis ir tukšs drošības skats. Velciet uz leju virs virsraksta un atveriet Drošības iestatījumus, lai manuāli pievienotu entītijas.",
connection_stopping_for_restart,,Stopping for restart…,Tiek apturēta restartēšanai…,
connection_starting,,Home Assistant is starting…,Home Assistant sākas…,don't translate Home Assistant
connection_restoring_dashboard,,Restoring your dashboard…,Notiek informācijas paneļa atjaunošana…,
connection_restarting,,Home Assistant is restarting…,Home Assistant tiek restartēts…,don't translate Home Assistant
connection_auto_generating,,Auto-generating rooms and widgets…,Telpu un logrīku automātiska ģenerēšana…,
connection_reconnecting,,Reconnecting to Home Assistant…,Notiek atkārtota savienojuma izveide ar Home Assistant…,don't translate Home Assistant
connection_unavailable_retrying,,Unavailable · Retrying…,Nav pieejams · Notiek atkārtots mēģinājums…,
connection_paused,,Connection paused,Savienojums apturēts,
connection_connected,,Connected,Savienots,
connection_server_not_found,,Server address could not be found,Servera adresi nevarēja atrast,
connection_timed_out,,Connection timed out,Savienojuma noildze,
connection_no_route,,No network route to Home Assistant,Nav tīkla maršruta uz Home Assistant,don't translate Home Assistant
connection_could_not_connect,,Could not connect to Home Assistant,Nevarēja izveidot savienojumu ar Home Assistant,don't translate Home Assistant
connection_secure_failed,,Secure connection failed,Neizdevās izveidot drošu savienojumu,
connection_session_expired_refreshing,,Session expired · Refreshing login…,Sesija beidzās · Notiek pieteikšanās atsvaidzināšana…,
connection_interrupted,,Connection was interrupted,Savienojums tika pārtraukts,
connection_error_title,,Connection error,Savienojuma kļūda,
connection_all_systems_normal,,All systems normal,Visas sistēmas ir normālas,
action_undo,,Undo,Atsaukt,
action_redo,,Redo,Atkārtoti,
connection_route_local,,Local,Vietējais,
connection_route_nabu_casa,,Nabu Casa,Nabu Casa,don't translate Nabu Casa
connection_route_external,,External,Ārējais,
settings_connection_via,,Connected via %1$s,"Savienots, izmantojot %1$s",app fills in %1$s — keep them
settings_connection_unknown,,Unknown,Nezināms,
settings_connection_connecting,,Connecting…,Notiek savienojuma izveide…,
settings_this_home,,this home,šīs mājas,
settings_local_network_allowed,,Allowed,Atļauts,
settings_local_network_not_allowed,,Not allowed — Home Assistant cannot be reached directly on your Wi-Fi,"Nav atļauts — Home Assistant nevar tieši sasniegt, izmantojot jūsu Wi-Fi",don't translate Home Assistant
settings_current_wifi,,Current Wi-Fi,Pašreizējais Wi-Fi,
settings_wifi_unavailable,,Not connected or location permission is missing,Nav izveidots savienojums vai trūkst atrašanās vietas atļaujas,
settings_just_now,,just now,tikai tagad,
settings_primary_app_language,,Primary application language,Galvenā lietojumprogrammas valoda,
settings_android_build_configuration,,Android resources and build configuration,Android resursi un būvējuma konfigurācija,
page_settings_default_title,,Page settings,Lapas iestatījumi,
page_settings_choose_area,,Choose an area to configure,"Izvēlieties apgabalu, ko konfigurēt",
page_settings_focused_options,,Focused options for this page area,Fokusētās opcijas šim lapas apgabalam,
page_settings_header_description,,Wallpaper and custom header color,Tapetes un pielāgota galvenes krāsa,
page_settings_custom_page_description,,"Name, subtitle, and navigation icon","Nosaukums, subtitri un navigācijas ikona",
page_settings_badge_bar,,Badge bar,Žetonu josla,
page_settings_badge_description,,"Visibility, alignment, and display options","Redzamības, izlīdzināšanas un displeja opcijas",
page_settings_persons,,Persons,Personas,
page_settings_persons_description,,Visibility and ordering,Redzamība un pasūtīšana,
page_settings_configure,,Configure,Konfigurēt,
room_config_title,,Room configuration,Telpas konfigurācija,
header_pill_left,,Left header pill,Kreisās galvenes tablete,
header_pill_right,,Right header pill,Labās galvenes tablete,
alignment_split,,Split,Sadalīt,
alignment_center,,Center,Centrs,
weather_cloudy,,Cloudy,Mākoņains,
home_default_markdown_content,,# Markdown\nOpen this widget's settings in **edit mode** to write your own content.,"# Markdown\nAtveriet šī logrīka iestatījumus **rediģēšanas režīmā**, lai rakstītu savu saturu.",\n = line break
home_settings_title,,Home settings,Mājas iestatījumi,
custom_page_settings_title,,%1$s settings,%1$s iestatījumi,app fills in %1$s — keep them
home_empty,,This is the homepage. Add widgets by swiping down on the header and enabling edit mode.,"Šī ir mājas lapa. Pievienojiet logrīkus, velkot lejup pa galveni un iespējojot rediģēšanas režīmu.",
custom_page_empty,,This page is empty. Add widgets by swiping down on the header and enabling edit mode.,"Šī lapa ir tukša. Pievienojiet logrīkus, velkot lejup pa galveni un iespējojot rediģēšanas režīmu.",
select_camera_title,,Select camera,Izvēlieties kameru,
select_entity_title,,Select entity,Izvēlieties entītiju,
custom_camera_default_name,,Custom camera,Pielāgota kamera,
rooms_settings_title,,Rooms settings,Telpu iestatījumi,
