key,item,english,translation,notes
language_title,,Language,语言,
language_display_title,,Display language,显示语言,
language_display_subtitle,,Follows your device by default; choose one to override it,默认跟随设备语言；选择一个以覆盖它,
language_system,,System default,系统默认,
language_selected,,Selected,已选择,
nav_home,,Home,主页,
nav_rooms,,Rooms,房间,
nav_security,,Security,安防,
nav_energy,,Energy,能源,
nav_climate,,Climate,温控,
nav_battery,,Battery,电池,
nav_settings,,Settings,设置,
nav_room_detail,,Room Detail,房间详情,
settings_title_connection,,Connection,连接,
settings_title_profile,,Profile,个人资料,
settings_title_location,,Location,位置,
settings_title_notifications,,Notifications,通知,
settings_title_appearance,,Appearance,外观,
settings_title_header,,Header,页眉,
settings_title_theme,,Theme,主题,
settings_title_fonts,,Fonts,字体,
settings_title_corners,,Corners,圆角,
settings_title_icons,,Icons,图标,
settings_title_nav_bar,,Navigation Bar,导航栏,
settings_title_media_players,,Media Players,媒体播放器,
settings_title_dashboard,,Dashboard,仪表盘,
settings_title_family_sharing,,Family Sharing,家庭共享,
settings_title_backup_restore,,Backup and Restore,备份与恢复,
settings_title_account,,Account,账户,
settings_title_about,,About HKI 7,关于 HKI 7,don't translate HKI 7
settings_title_license,,License,许可证,
settings_title_support,,Support,支持,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,塑造您的 HKI 7 体验的一切,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,您的资料与此应用安装信息,
settings_subtitle_profile,,Personal details used throughout your dashboard,贯穿整个仪表盘使用的个人信息,
settings_subtitle_connection,,Server routes and local-network preferences,服务器路由和本地网络首选项,
settings_subtitle_location,,Presence updates and background access,位置更新和后台访问权限,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups",仪表板、选项卡、媒体播放器和弹出窗口,
settings_subtitle_appearance,,Make the dashboard feel like yours,让仪表盘更具个人风格,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets",按钮、卡片和小组件的圆角程度,
settings_subtitle_icons,,Icon animations and per-domain effects,图标动画和各领域效果,
settings_subtitle_header,,Choose whether the dashboard header is shown,选择是否显示仪表盘页眉,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling",颜色、对比度、模式和圆角样式,
settings_subtitle_fonts,,"Size, weight, and typeface readability",字号、字重和字体可读性,
settings_subtitle_nav_bar,,Choose which destinations are always within reach,选择始终可触达的目标页面,
settings_subtitle_media_players,,Names and mini-player visibility,名称和迷你播放器可见性,
settings_subtitle_notifications,,"Push delivery, history, and service behavior",推送投递、历史记录和服务行为,
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,保护或迁移您的仪表盘配置,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions",家长控制、仪表盘共享和接收者权限,
settings_subtitle_about,,"The project, technology, and people behind HKI 7",HKI 7 背后的项目、技术和团队,don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,开源社区核心和可选的高级素材,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,无需购买高级版即可帮助 HKI 7 成长的方式,don't translate HKI 7
notification_channel_general,,General,常规,
location_channel_name,,Location sharing,位置共享,
location_notification_title,,Home Assistant location,Home Assistant 位置,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,正在与 Home Assistant 共享您的位置,don't translate Home Assistant
push_connection_channel_name,,Notification connection,通知连接,
push_connection_notification_title,,Connected to Home Assistant,已连接到 Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,正在监听通知,
parcel_title,,Parcels,包裹,
parcel_generic_carrier,,Carrier,快递公司,
parcel_incoming,,Incoming,到件,
parcel_delivered,,Delivered,已送达,
parcel_outgoing,,Outgoing,寄出,
parcel_letters,,Letters,信件,
parcel_mail,,Mail,邮件,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d 件到件 · %2$d 件寄出,app fills in %1$d %2$d — keep them
