key,item,english,translation,notes
language_title,,Language,Idioma,
language_display_title,,Display language,Idioma de visualización,
language_display_subtitle,,Follows your device by default; choose one to override it,Sigue su dispositivo de forma predeterminada; elige uno para anularlo,
language_system,,System default,Valor predeterminado del sistema,
language_selected,,Selected,Seleccionado,
nav_home,,Home,Hogar,
nav_rooms,,Rooms,Alojamiento,
nav_security,,Security,Seguridad,
nav_energy,,Energy,Energía,
nav_climate,,Climate,Clima,
nav_battery,,Battery,Batería,
nav_settings,,Settings,Ajustes,
nav_room_detail,,Room Detail,Detalle de la habitación,
settings_title_connection,,Connection,Conexión,
settings_title_profile,,Profile,Perfil,
settings_title_location,,Location,Ubicación,
settings_title_notifications,,Notifications,Notificaciones,
settings_title_appearance,,Appearance,Apariencia,
settings_title_header,,Header,Encabezamiento,
settings_title_theme,,Theme,Tema,
settings_title_fonts,,Fonts,Fuentes,
settings_title_corners,,Corners,Esquinas,
settings_title_icons,,Icons,Iconos,
settings_title_nav_bar,,Navigation Bar,Barra de navegación,
settings_title_media_players,,Media Players,Reproductores multimedia,
settings_title_dashboard,,Dashboard,Panel,
settings_title_family_sharing,,Family Sharing,Compartir en familia,
settings_title_backup_restore,,Backup and Restore,Copia de seguridad y restauración,
settings_title_account,,Account,Cuenta,
settings_title_about,,About HKI 7,Acerca de HKI 7,don't translate HKI 7
settings_title_license,,License,Licencia,
settings_title_support,,Support,Apoyo,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,Todo lo que da forma a tu experiencia HKI 7,don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Tu perfil y la instalación de esta aplicación.,
settings_subtitle_profile,,Personal details used throughout your dashboard,Datos personales utilizados en todo su panel de control,
settings_subtitle_connection,,Server routes and local-network preferences,Rutas del servidor y preferencias de red local,
settings_subtitle_location,,Presence updates and background access,Actualizaciones de presencia y acceso en segundo plano,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Paneles de control, pestañas, reproductores multimedia y ventanas emergentes",
settings_subtitle_appearance,,Make the dashboard feel like yours,Haz que el tablero se sienta como tuyo,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Redondez de botones, tarjetas y widgets.",
settings_subtitle_icons,,Icon animations and per-domain effects,Animaciones de iconos y efectos por dominio.,
settings_subtitle_header,,Choose whether the dashboard header is shown,Elija si se muestra el encabezado del panel,
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Color, contraste, modo y estilo de esquinas.",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Tamaño, peso y legibilidad del tipo de letra",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,Elige qué destinos están siempre a tu alcance,
settings_subtitle_media_players,,Names and mini-player visibility,Nombres y visibilidad del minijugador.,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Entrega push, historial y comportamiento del servicio",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Proteja o mueva la configuración de su tablero,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Controles parentales, uso compartido de paneles y permisos de destinatarios",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","El proyecto, la tecnología y las personas detrás de HKI 7",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Núcleo comunitario de código abierto y materiales premium opcionales,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,Formas de ayudar a HKI 7 a crecer sin comprar Premium,don't translate HKI 7
notification_channel_general,,General,General,
location_channel_name,,Location sharing,Compartir ubicación,
location_notification_title,,Home Assistant location,Ubicación de Home Assistant,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Compartiendo tu ubicación con Home Assistant,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Conexión de notificaciones,
push_connection_notification_title,,Connected to Home Assistant,Conectado a Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,Esperando notificaciones,
parcel_title,,Parcels,Paquetes,
parcel_generic_carrier,,Carrier,Transportista,
parcel_incoming,,Incoming,Entrantes,
parcel_delivered,,Delivered,Entregados,
parcel_outgoing,,Outgoing,Enviados,
parcel_letters,,Letters,Cartas,
parcel_mail,,Mail,Correo,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d entrantes · %2$d enviados,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d entrantes · %2$d enviados · %3$d cartas,app fills in %1$d %2$d %3$d — keep them
