key,item,english,translation,notes
language_title,,Language,Sprache,
language_display_title,,Display language,Anzeigesprache,
language_display_subtitle,,Follows your device by default; choose one to override it,"Folgt standardmäßig Ihrem Gerät; Wählen Sie eine aus, um sie zu überschreiben",
language_system,,System default,Systemstandard,
language_selected,,Selected,Ausgewählt,
nav_home,,Home,Heim,
nav_rooms,,Rooms,Zimmer,
nav_security,,Security,Sicherheit,
nav_energy,,Energy,Energie,
nav_climate,,Climate,Klima,
nav_battery,,Battery,Batterie,
nav_settings,,Settings,Einstellungen,
nav_room_detail,,Room Detail,Raumdetail,
settings_title_connection,,Connection,Verbindung,
settings_title_profile,,Profile,Profil,
settings_title_location,,Location,Standort,
settings_title_notifications,,Notifications,Benachrichtigungen,
settings_title_appearance,,Appearance,Aussehen,
settings_title_header,,Header,Kopfzeile,
settings_title_theme,,Theme,Thema,
settings_title_fonts,,Fonts,Schriftarten,
settings_title_corners,,Corners,Ecken,
settings_title_icons,,Icons,Symbole,
settings_title_nav_bar,,Navigation Bar,Navigationsleiste,
settings_title_media_players,,Media Players,Medienplayer,
settings_title_dashboard,,Dashboard,Dashboard,
settings_title_family_sharing,,Family Sharing,Familienfreigabe,
settings_title_backup_restore,,Backup and Restore,Sichern und Wiederherstellen,
settings_title_account,,Account,Konto,
settings_title_about,,About HKI 7,Über HKI 7,don't translate HKI 7
settings_title_license,,License,Lizenz,
settings_title_support,,Support,Unterstützung,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,"Alles, was Ihr HKI 7-Erlebnis prägt",don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Ihr Profil und diese App-Installation,
settings_subtitle_profile,,Personal details used throughout your dashboard,"Persönliche Daten, die in Ihrem Dashboard verwendet werden",
settings_subtitle_connection,,Server routes and local-network preferences,Serverrouten und lokale Netzwerkeinstellungen,
settings_subtitle_location,,Presence updates and background access,Anwesenheitsaktualisierungen und Hintergrundzugriff,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Dashboards, Registerkarten, Mediaplayer und Popups",
settings_subtitle_appearance,,Make the dashboard feel like yours,"Sorgen Sie dafür, dass sich das Dashboard wie Ihr eigenes anfühlt",
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Rundheit von Schaltflächen, Karten und Widgets",
settings_subtitle_icons,,Icon animations and per-domain effects,Symbolanimationen und domänenspezifische Effekte,
settings_subtitle_header,,Choose whether the dashboard header is shown,"Wählen Sie aus, ob die Dashboard-Kopfzeile angezeigt werden soll",
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Farbe, Kontrast, Modus und Eckenstil",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Größe, Gewicht und Lesbarkeit der Schriftart",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,"Wählen Sie, welche Ziele immer in Reichweite sind",
settings_subtitle_media_players,,Names and mini-player visibility,Namen und Sichtbarkeit der Minispieler,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Push-Zustellung, Verlauf und Serviceverhalten",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Schützen oder verschieben Sie Ihre Dashboard-Konfiguration,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Kindersicherung, Dashboard-Freigabe und Empfängerberechtigungen",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","Das Projekt, die Technologie und die Menschen hinter HKI 7",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Open-Source-Community-Kern und optionale Premium-Materialien,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,"Möglichkeiten, das Wachstum von HKI 7 zu unterstützen, ohne Premium kaufen zu müssen",don't translate HKI 7
notification_channel_general,,General,Allgemein,
location_channel_name,,Location sharing,Standortfreigabe,
location_notification_title,,Home Assistant location,Home-Assistant-Standort,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Standort wird mit Home Assistant geteilt,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Benachrichtigungsverbindung,
push_connection_notification_title,,Connected to Home Assistant,Mit Home Assistant verbunden,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,Benachrichtigungen werden empfangen,
parcel_title,,Parcels,Pakete,
parcel_generic_carrier,,Carrier,Paketdienst,
parcel_incoming,,Incoming,Eingehend,
parcel_delivered,,Delivered,Zugestellt,
parcel_outgoing,,Outgoing,Ausgehend,
parcel_letters,,Letters,Briefe,
parcel_mail,,Mail,Post,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d eingehend · %2$d ausgehend,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d eingehend · %2$d ausgehend · %3$d Briefe,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d eingehend · %2$d ausgehend · %3$d Briefe,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,%1$d eingehend · %2$d ausgehend · %3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,Sendungsverlauf,
parcel_tracking_history_subtitle,,Parcel journey and status updates,Sendungsverlauf und Statusaktualisierungen,
parcel_choose_carrier_account,,Choose a carrier account,Konto eines Paketdienstes auswählen,
parcel_empty_tab,,No %1$s parcels.,Keine %1$s Pakete.,app fills in %1$s — keep them
parcel_no_incoming,,No incoming parcels.,Keine eingehenden Pakete.,
parcel_no_delivered,,No delivered parcels.,Keine zugestellten Pakete.,
parcel_no_outgoing,,No outgoing parcels.,Keine ausgehenden Pakete.,
parcel_stage_registered,,Registered,Registriert,
parcel_stage_sorting,,Sorting,Wird sortiert,
parcel_stage_on_the_way,,On the way,Unterwegs,
parcel_unknown_status,,Unknown status,Unbekannter Status,
parcel_status_in_transit,,In transit,Unterwegs,
parcel_status_out_for_delivery,,Out for delivery,In Zustellung,
parcel_status_at_pickup_point,,Ready at pickup point,Abholbereit,
parcel_status_ready_to_send,,Ready to send,Versandbereit,
parcel_letter_preview,,Letter preview,Briefvorschau,
parcel_carriers,,Carriers,Paketdienste,
parcel_track_new,,Track a new %1$s parcel by number,Ein neues %1$s-Paket anhand der Sendungsnummer verfolgen,app fills in %1$s — keep them
parcel_choose_carrier,,Choose a carrier,Paketdienst auswählen,
parcel_settings_subtitle,,"Carrier accounts, aggregation, and appearance","Paketdienstkonten, Zusammenfassung und Erscheinungsbild",
parcel_settings_accounts,,Accounts,Konten,
parcel_settings_organization,,Organization,Organisation,
parcel_settings_appearance,,Appearance,Erscheinungsbild,
action_remove,,Remove,Entfernen,
notification_delete,,Delete notification,Benachrichtigung löschen,
notification_mark_all_read,,Mark all as read,Alle als gelesen markieren,
notification_mark_all_unread,,Mark all as unread,Alle als ungelesen markieren,
notification_delete_all,,Delete all,Alle löschen,
notification_delete_all_archived,,Delete all archived,Alle archivierten löschen,
notification_unread,,Unread,Ungelesen,
notification_history,,History,Verlauf,
notification_mark_unread,,Mark as unread,Als ungelesen markieren,
notification_mark_read,,Mark as read,Als gelesen markieren,
notification_archive,,Archive,Archivieren,
notification_unarchive,,Unarchive,Aus dem Archiv holen,
notification_delete_action,,Delete,Löschen,
entity_search_select_items,,Select items,Elemente auswählen,
entity_search_choose_one,,Search and choose one entity,Eine Entität suchen und auswählen,
