key,item,english,translation,notes
language_title,,Language,Keel,
language_display_title,,Display language,Kuvamise keel,
language_display_subtitle,,Follows your device by default; choose one to override it,Jälgib vaikimisi teie seadet; valige üks selle tühistamiseks,
language_system,,System default,Süsteemi vaikeseade,
language_selected,,Selected,Valitud,
nav_home,,Home,Kodu,
nav_rooms,,Rooms,Toad,
nav_security,,Security,Turvalisus,
nav_energy,,Energy,Energia,
nav_climate,,Climate,Kliima,
nav_battery,,Battery,Aku,
nav_settings,,Settings,Seaded,
nav_room_detail,,Room Detail,Ruumi detailid,
settings_title_connection,,Connection,Ühendus,
settings_title_profile,,Profile,Profiil,
settings_title_location,,Location,Asukoht,
settings_title_notifications,,Notifications,Märguanded,
settings_title_appearance,,Appearance,Välimus,
settings_title_header,,Header,Päis,
settings_title_theme,,Theme,Teema,
settings_title_fonts,,Fonts,Fondid,
settings_title_corners,,Corners,Nurgad,
settings_title_icons,,Icons,Ikoonid,
settings_title_nav_bar,,Navigation Bar,Navigeerimisriba,
settings_title_media_players,,Media Players,Meediamängijad,
settings_title_dashboard,,Dashboard,Armatuurlaud,
settings_title_family_sharing,,Family Sharing,Perekonna jagamine,
settings_title_backup_restore,,Backup and Restore,Varundamine ja taastamine,
settings_title_account,,Account,konto,
settings_title_about,,About HKI 7,Umbes HKI 7,don't translate HKI 7
settings_title_license,,License,Litsents,
settings_title_support,,Support,Toetus,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,"Kõik, mis kujundab teie HKI 7 kogemust",don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Teie profiil ja see rakenduse installimine,
settings_subtitle_profile,,Personal details used throughout your dashboard,"Isikuandmed, mida kasutatakse kogu teie juhtpaneelil",
settings_subtitle_connection,,Server routes and local-network preferences,Serveri marsruudid ja kohaliku võrgu eelistused,
settings_subtitle_location,,Presence updates and background access,Kohaloleku värskendused ja juurdepääs taustal,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Armatuurlauad, vahelehed, meediumipleierid ja hüpikaknad",
settings_subtitle_appearance,,Make the dashboard feel like yours,Muutke armatuurlaud enda omaks,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Nuppude, kaartide ja vidinate ümarus",
settings_subtitle_icons,,Icon animations and per-domain effects,Ikooni animatsioonid ja domeenipõhised efektid,
settings_subtitle_header,,Choose whether the dashboard header is shown,"Valige, kas armatuurlaua päist kuvatakse",
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Värv, kontrast, režiim ja nurga stiil",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Suurus, kaal ja kirjatüübi loetavus",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,"Valige, millised sihtkohad on alati käeulatuses",
settings_subtitle_media_players,,Names and mini-player visibility,Nimed ja minimängija nähtavus,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Tõuke edastamine, ajalugu ja teeninduskäitumine",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Kaitske või teisaldage oma armatuurlaua konfiguratsiooni,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Vanemlik järelevalve, armatuurlaua jagamine ja adressaatide load",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","Projekt, tehnoloogia ja inimesed HKI 7 taga",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Avatud lähtekoodiga kogukonna tuum ja valikulised esmaklassilised materjalid,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,Kuidas aidata HKI 7 kasvada ilma Premiumi ostmata,don't translate HKI 7
notification_channel_general,,General,Kindral,
location_channel_name,,Location sharing,Asukoha jagamine,
location_notification_title,,Home Assistant location,Home Assistant asukoht,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Asukoha jagamine kasutajaga Home Assistant,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Teavitusühendus,
push_connection_notification_title,,Connected to Home Assistant,Ühendatud võrguga Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,Märguannete kuulamine,
parcel_title,,Parcels,Pakid,
parcel_generic_carrier,,Carrier,Kandja,
parcel_incoming,,Incoming,Sissetulevad,
parcel_delivered,,Delivered,Tarnitud,
parcel_outgoing,,Outgoing,Väljuv,
parcel_letters,,Letters,Kirjad,
parcel_mail,,Mail,Mail,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d sissetulev · %2$d väljuv,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d sissetulev · %2$d väljuv · %3$d tähte,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d sissetulev · %2$d väljuv · %3$d tähte,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,%1$d sissetulev · %2$d väljuv · %3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,Jälgimisajalugu,
parcel_tracking_history_subtitle,,Parcel journey and status updates,Paki teekond ja olekuvärskendused,
parcel_choose_carrier_account,,Choose a carrier account,Valige operaatori konto,
parcel_empty_tab,,No %1$s parcels.,%1$s pakke pole.,app fills in %1$s — keep them
parcel_no_incoming,,No incoming parcels.,Sissetulevaid pakke pole.,
parcel_no_delivered,,No delivered parcels.,Kohaletoimetatud pakke ei ole.,
parcel_no_outgoing,,No outgoing parcels.,Väljaminevaid pakke pole.,
parcel_stage_registered,,Registered,Registreeritud,
parcel_stage_sorting,,Sorting,Sorteerimine,
parcel_stage_on_the_way,,On the way,Teel,
parcel_unknown_status,,Unknown status,Tundmatu olek,
parcel_status_in_transit,,In transit,Transiidil,
parcel_status_out_for_delivery,,Out for delivery,Kohaletoimetamiseks väljas,
parcel_status_at_pickup_point,,Ready at pickup point,Valmis kättesaamise punktis,
parcel_status_ready_to_send,,Ready to send,Saatmiseks valmis,
parcel_letter_preview,,Letter preview,Kirja eelvaade,
parcel_carriers,,Carriers,Kandjad,
