key,item,english,translation,notes
language_title,,Language,Jazyk,
language_display_title,,Display language,Jazyk zobrazenia,
language_display_subtitle,,Follows your device by default; choose one to override it,"Predvolene sleduje vaše zariadenie; vyberte jeden, ktorý ho prepíše",
language_system,,System default,Predvolené nastavenie systému,
language_selected,,Selected,Vybrané,
nav_home,,Home,Domov,
nav_rooms,,Rooms,Izby,
nav_security,,Security,Bezpečnosť,
nav_energy,,Energy,Energia,
nav_climate,,Climate,Klíma,
nav_battery,,Battery,Batéria,
nav_settings,,Settings,Nastavenia,
nav_room_detail,,Room Detail,Detail izby,
settings_title_connection,,Connection,Pripojenie,
settings_title_profile,,Profile,Profil,
settings_title_location,,Location,Poloha,
settings_title_notifications,,Notifications,Upozornenia,
settings_title_appearance,,Appearance,Vzhľad,
settings_title_header,,Header,Hlavička,
settings_title_theme,,Theme,Téma,
settings_title_fonts,,Fonts,Písma,
settings_title_corners,,Corners,Rohy,
settings_title_icons,,Icons,ikony,
settings_title_nav_bar,,Navigation Bar,Navigačný panel,
settings_title_media_players,,Media Players,Prehrávače médií,
settings_title_dashboard,,Dashboard,Dashboard,
settings_title_family_sharing,,Family Sharing,Rodinné zdieľanie,
settings_title_backup_restore,,Backup and Restore,Zálohovanie a obnovenie,
settings_title_account,,Account,účtu,
settings_title_about,,About HKI 7,O HKI 7,don't translate HKI 7
settings_title_license,,License,Licencia,
settings_title_support,,Support,Podpora,
settings_subtitle_menu,,Everything that shapes your HKI 7 experience,"Všetko, čo formuje váš HKI 7 zážitok",don't translate HKI 7
settings_subtitle_account,,Your profile and this app installation,Váš profil a inštalácia tejto aplikácie,
settings_subtitle_profile,,Personal details used throughout your dashboard,Osobné údaje používané na vašom informačnom paneli,
settings_subtitle_connection,,Server routes and local-network preferences,Serverové trasy a preferencie lokálnej siete,
settings_subtitle_location,,Presence updates and background access,Aktualizácie prítomnosti a prístup na pozadí,
settings_subtitle_dashboard,,"Dashboards, tabs, media players, and popups","Panely, karty, prehrávače médií a kontextové okná",
settings_subtitle_appearance,,Make the dashboard feel like yours,Nechajte palubnú dosku cítiť ako vy,
settings_subtitle_corners,,"Roundness of buttons, cards, and widgets","Okrúhlosť tlačidiel, kariet a miniaplikácií",
settings_subtitle_icons,,Icon animations and per-domain effects,Animácie ikon a efekty pre jednotlivé domény,
settings_subtitle_header,,Choose whether the dashboard header is shown,"Vyberte, či sa má zobrazovať hlavička informačného panela",
settings_subtitle_theme,,"Color, contrast, mode, and corner styling","Farba, kontrast, režim a štýl rohov",
settings_subtitle_fonts,,"Size, weight, and typeface readability","Veľkosť, hmotnosť a čitateľnosť písma",
settings_subtitle_nav_bar,,Choose which destinations are always within reach,"Vyberte si, ktoré destinácie sú vždy na dosah",
settings_subtitle_media_players,,Names and mini-player visibility,Mená a viditeľnosť mini-hráčov,
settings_subtitle_notifications,,"Push delivery, history, and service behavior","Push doručenie, históriu a správanie služby",
settings_subtitle_backup_restore,,Protect or move your dashboard configuration,Chráňte alebo presuňte konfiguráciu palubnej dosky,
settings_subtitle_family_sharing,,"Parental controls, dashboard sharing, and recipient permissions","Rodičovská kontrola, zdieľanie informačných panelov a povolenia príjemcov",
settings_subtitle_about,,"The project, technology, and people behind HKI 7","Projekt, technológia a ľudia stojaci za HKI 7",don't translate HKI 7
settings_subtitle_license,,Open-source community core and optional premium materials,Open source komunitné jadro a voliteľné prémiové materiály,
settings_subtitle_support,,Ways to help HKI 7 grow without buying Premium,"Spôsoby, ako pomôcť HKI 7 rásť bez nákupu Premium",don't translate HKI 7
notification_channel_general,,General,generál,
location_channel_name,,Location sharing,Zdieľanie polohy,
location_notification_title,,Home Assistant location,Home Assistant umiestnenie,don't translate Home Assistant
location_notification_text,,Sharing your location with Home Assistant,Zdieľanie vašej polohy s Home Assistant,don't translate Home Assistant
push_connection_channel_name,,Notification connection,Pripojenie upozornení,
push_connection_notification_title,,Connected to Home Assistant,Pripojené k Home Assistant,don't translate Home Assistant
push_connection_notification_text,,Listening for notifications,Počúvanie upozornení,
parcel_title,,Parcels,Zásielky,
parcel_generic_carrier,,Carrier,Nosič,
parcel_incoming,,Incoming,Prichádzajúce,
parcel_delivered,,Delivered,Doručené,
parcel_outgoing,,Outgoing,Odchádzajúce,
parcel_letters,,Letters,Listy,
parcel_mail,,Mail,Mail,
parcel_summary,,%1$d incoming · %2$d outgoing,%1$d prichádzajúce · %2$d odchádzajúce,app fills in %1$d %2$d — keep them
parcel_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d prichádzajúce · %2$d odchádzajúce · %3$d písmen,app fills in %1$d %2$d %3$d — keep them
parcel_carrier_summary_with_letters,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d prichádzajúce · %2$d odchádzajúce · %3$d písmen,app fills in %1$d %2$d %3$d — keep them
parcel_summary_with_letter_count,,%1$d incoming · %2$d outgoing · %3$s,%1$d prichádzajúce · %2$d odchádzajúce · %3$s,app fills in %1$d %2$d %3$s — keep them
parcel_tracking_history,,Tracking history,História sledovania,
parcel_tracking_history_subtitle,,Parcel journey and status updates,Aktualizácia cesty balíka a stavu,
parcel_choose_carrier_account,,Choose a carrier account,Vyberte účet operátora,
parcel_empty_tab,,No %1$s parcels.,Žiadne %1$s balíky.,app fills in %1$s — keep them
parcel_no_incoming,,No incoming parcels.,Žiadne prichádzajúce balíky.,
parcel_no_delivered,,No delivered parcels.,Žiadne doručené balíky.,
parcel_no_outgoing,,No outgoing parcels.,Žiadne odchádzajúce balíky.,
parcel_stage_registered,,Registered,Registrovaný,
parcel_stage_sorting,,Sorting,Triedenie,
parcel_stage_on_the_way,,On the way,Na ceste,
parcel_unknown_status,,Unknown status,Neznámy stav,
parcel_status_in_transit,,In transit,V tranzite,
parcel_status_out_for_delivery,,Out for delivery,Na doručenie,
parcel_status_at_pickup_point,,Ready at pickup point,Pripravené na odbernom mieste,
parcel_status_ready_to_send,,Ready to send,Pripravené na odoslanie,
parcel_letter_preview,,Letter preview,Náhľad listu,
parcel_carriers,,Carriers,Nosiče,
parcel_track_new,,Track a new %1$s parcel by number,Sledujte nový balík %1$s podľa čísla,app fills in %1$s — keep them
parcel_choose_carrier,,Choose a carrier,Vyberte si dopravcu,
parcel_settings_subtitle,,"Carrier accounts, aggregation, and appearance","Účty operátora, agregácia a vzhľad",
parcel_settings_accounts,,Accounts,účty,
parcel_settings_organization,,Organization,Organizácia,
parcel_settings_appearance,,Appearance,Vzhľad,
action_remove,,Remove,Odstrániť,
notification_delete,,Delete notification,Odstrániť upozornenie,
notification_mark_all_read,,Mark all as read,Označiť všetko ako prečítané,
notification_mark_all_unread,,Mark all as unread,Označiť všetky ako neprečítané,
notification_delete_all,,Delete all,Vymazať všetky,
notification_delete_all_archived,,Delete all archived,Odstrániť všetky archivované,
notification_unread,,Unread,Neprečítané,
notification_history,,History,História,
notification_mark_unread,,Mark as unread,Označiť ako neprečítané,
notification_mark_read,,Mark as read,Označiť ako prečítané,
notification_archive,,Archive,Archív,
notification_unarchive,,Unarchive,Zrušiť archiváciu,
notification_delete_action,,Delete,Odstrániť,
entity_search_select_items,,Select items,Vyberte položky,
entity_search_choose_one,,Search and choose one entity,Vyhľadajte a vyberte jednu entitu,
entity_search_choose_multiple,,Search and select one or more entities,Vyhľadajte a vyberte jednu alebo viac entít,
global_search_title,,Search,Hľadať,
global_search_subtitle,,Find and control any Home Assistant device or entity,Nájdite a ovládajte akékoľvek Home Assistant zariadenie alebo entitu,don't translate Home Assistant
global_search_clear,,Clear search,Vymazať vyhľadávanie,
global_search_no_devices,,No matching devices.,Žiadne zodpovedajúce zariadenia.,
global_search_no_entities,,No matching entities.,Žiadne zodpovedajúce entity.,
security_title,,Security,Bezpečnosť,
security_subtitle,,Home status and activity,Stav a aktivita domova,
security_settings,,Security settings,Nastavenia zabezpečenia,
security_entities,,Security entities,Bezpečnostné subjekty,
security_reimport,,Re-import,Opätovný import,
security_group_doors,,Doors,Dvere,
security_group_doors_subtitle,,Door contacts,Dverové kontakty,
security_group_windows,,Windows,Windows,
security_group_windows_subtitle,,Window contacts,Okenné kontakty,
security_group_openings,,Openings,Otvory,
security_group_openings_subtitle,,Garage doors and other openings,Garážové brány a iné otvory,
security_group_garage_doors,,Garage doors,Garážové brány,
security_group_garage_doors_subtitle,,Garage door covers,Kryty garážových brán,
security_group_covers,,Covers,Kryty,
security_group_covers_subtitle,,"Blinds, shutters, and gates","Žalúzie, žalúzie a brány",
security_group_locks,,Locks,Zámky,
security_group_locks_subtitle,,Door and gate locks,Zámky na dvere a brány,
security_group_motion,,Motion,Pohyb,
security_group_motion_subtitle,,Motion detection,Detekcia pohybu,
security_group_presence,,Presence,Prítomnosť,
security_group_presence_subtitle,,Occupancy sensors,Senzory obsadenosti,
security_group_fire,,Fire and temperature,Oheň a teplota,
